%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1455208145911307096,1,0,/fsr_data_acquisition,1,0,0,0
1455208145913078069,2,0,/fsr_data_acquisition,1,0,0,0
1455208145915637016,3,0,/fsr_data_acquisition,1,0,0,0
1455208145921818017,4,0,/fsr_data_acquisition,1,0,0,0
1455208145925527095,5,0,/fsr_data_acquisition,1,0,0,0
1455208145929666996,6,0,/fsr_data_acquisition,1,0,0,0
1455208145934844970,7,0,/fsr_data_acquisition,1,0,0,1
1455208145939481019,8,0,/fsr_data_acquisition,1,0,0,1
1455208145944545030,9,0,/fsr_data_acquisition,1,0,0,1
1455208145949621915,10,0,/fsr_data_acquisition,0,0,0,1
1455208145957129001,11,0,/fsr_data_acquisition,0,0,0,1
1455208145959702014,12,0,/fsr_data_acquisition,0,0,0,1
1455208145964716911,13,0,/fsr_data_acquisition,0,0,0,1
1455208145971060037,14,0,/fsr_data_acquisition,0,0,0,1
1455208145975066900,15,0,/fsr_data_acquisition,0,0,0,1
1455208145980628967,16,0,/fsr_data_acquisition,1,0,0,1
1455208145984782934,17,0,/fsr_data_acquisition,1,0,0,1
1455208145989646911,18,0,/fsr_data_acquisition,1,0,0,1
1455208145994705915,19,0,/fsr_data_acquisition,1,0,0,1
1455208145999768972,20,0,/fsr_data_acquisition,1,0,0,1
1455208146006340980,21,0,/fsr_data_acquisition,1,0,0,1
1455208146012098073,22,0,/fsr_data_acquisition,1,0,0,1
1455208146014846086,23,0,/fsr_data_acquisition,1,0,0,1
1455208146019709110,24,0,/fsr_data_acquisition,1,1,0,1
1455208146024578094,25,0,/fsr_data_acquisition,1,1,0,1
1455208146029613018,26,0,/fsr_data_acquisition,1,1,0,1
1455208146036432027,27,0,/fsr_data_acquisition,1,1,0,1
1455208146041282892,28,0,/fsr_data_acquisition,1,1,0,1
1455208146045103073,29,0,/fsr_data_acquisition,1,1,1,1
1455208146049536943,30,0,/fsr_data_acquisition,1,1,1,1
1455208146054541110,31,0,/fsr_data_acquisition,1,1,1,1
1455208146059628963,32,0,/fsr_data_acquisition,1,1,1,1
1455208146065783977,33,0,/fsr_data_acquisition,1,1,1,1
1455208146070657968,34,0,/fsr_data_acquisition,1,1,1,1
1455208146074518918,35,0,/fsr_data_acquisition,1,1,1,1
1455208146079607009,36,0,/fsr_data_acquisition,1,1,1,1
1455208146084561109,37,0,/fsr_data_acquisition,1,1,1,1
1455208146089634895,38,0,/fsr_data_acquisition,1,1,1,1
1455208146095042943,39,0,/fsr_data_acquisition,1,1,1,1
1455208146099711894,40,0,/fsr_data_acquisition,1,1,1,1
1455208146104650020,41,0,/fsr_data_acquisition,1,1,1,1
1455208146110368013,42,0,/fsr_data_acquisition,1,1,1,1
1455208146114649057,43,0,/fsr_data_acquisition,1,1,1,1
1455208146119417905,44,0,/fsr_data_acquisition,1,1,1,1
1455208146125534057,45,0,/fsr_data_acquisition,1,1,1,1
1455208146133866071,46,0,/fsr_data_acquisition,1,1,1,1
1455208146134569883,47,0,/fsr_data_acquisition,1,1,1,1
1455208146139595031,48,0,/fsr_data_acquisition,1,1,1,1
1455208146144618034,49,0,/fsr_data_acquisition,1,1,1,1
1455208146149557113,50,0,/fsr_data_acquisition,1,1,1,1
1455208146154668092,51,0,/fsr_data_acquisition,1,1,1,1
1455208146164452075,52,0,/fsr_data_acquisition,1,1,1,1
1455208146165092945,53,0,/fsr_data_acquisition,1,1,1,1
1455208146169619083,54,0,/fsr_data_acquisition,1,1,1,1
1455208146174616098,55,0,/fsr_data_acquisition,1,1,1,1
1455208146179600000,56,0,/fsr_data_acquisition,1,1,1,1
1455208146184859037,57,0,/fsr_data_acquisition,1,1,1,1
1455208146190042018,58,0,/fsr_data_acquisition,1,1,1,1
1455208146195256948,59,0,/fsr_data_acquisition,1,1,1,1
1455208146199423074,60,0,/fsr_data_acquisition,1,1,1,1
1455208146204545021,61,0,/fsr_data_acquisition,1,1,1,1
1455208146209428071,62,0,/fsr_data_acquisition,1,1,1,1
1455208146214520931,63,0,/fsr_data_acquisition,1,1,1,1
1455208146220583915,64,0,/fsr_data_acquisition,1,1,1,1
1455208146225630044,65,0,/fsr_data_acquisition,1,1,1,1
1455208146229702949,66,0,/fsr_data_acquisition,1,1,1,1
1455208146234523057,67,0,/fsr_data_acquisition,1,1,1,1
1455208146239473104,68,0,/fsr_data_acquisition,1,1,1,1
1455208146244530916,69,0,/fsr_data_acquisition,1,1,1,1
1455208146251195907,70,0,/fsr_data_acquisition,1,1,1,1
1455208146256006956,71,0,/fsr_data_acquisition,1,1,1,1
1455208146259753942,72,0,/fsr_data_acquisition,1,1,1,1
1455208146264532089,73,0,/fsr_data_acquisition,1,1,1,1
1455208146269412994,74,0,/fsr_data_acquisition,1,1,1,1
1455208146274465084,75,0,/fsr_data_acquisition,1,1,1,1
1455208146281236886,76,0,/fsr_data_acquisition,1,1,1,1
1455208146286081075,77,0,/fsr_data_acquisition,1,1,1,1
1455208146289745092,78,0,/fsr_data_acquisition,1,1,1,1
1455208146294598102,79,0,/fsr_data_acquisition,1,1,1,1
1455208146299448966,80,0,/fsr_data_acquisition,1,1,1,1
1455208146304531097,81,0,/fsr_data_acquisition,1,1,1,1
1455208146310919046,82,0,/fsr_data_acquisition,1,1,1,1
1455208146315982103,83,0,/fsr_data_acquisition,1,1,1,1
1455208146319915056,84,0,/fsr_data_acquisition,1,1,1,1
1455208146324446916,85,0,/fsr_data_acquisition,1,1,1,1
1455208146329458951,86,0,/fsr_data_acquisition,1,1,1,1
1455208146334522962,87,0,/fsr_data_acquisition,1,1,1,1
1455208146340316057,88,0,/fsr_data_acquisition,1,1,1,1
1455208146346865892,89,0,/fsr_data_acquisition,1,1,1,1
1455208146349745035,90,0,/fsr_data_acquisition,1,1,1,1
1455208146354540109,91,0,/fsr_data_acquisition,1,1,1,1
1455208146359549045,92,0,/fsr_data_acquisition,1,1,1,1
1455208146364583015,93,0,/fsr_data_acquisition,1,1,1,1
1455208146369811058,94,0,/fsr_data_acquisition,1,1,1,1
1455208146374663114,95,0,/fsr_data_acquisition,1,1,1,1
1455208146379633903,96,0,/fsr_data_acquisition,1,1,1,1
1455208146384780883,97,0,/fsr_data_acquisition,1,1,1,1
1455208146389559984,98,0,/fsr_data_acquisition,1,1,1,1
1455208146394555091,99,0,/fsr_data_acquisition,1,1,1,1
1455208146399760961,100,0,/fsr_data_acquisition,1,1,1,1
1455208146404743909,101,0,/fsr_data_acquisition,1,1,1,1
1455208146409614086,102,0,/fsr_data_acquisition,1,1,1,1
1455208146414552927,103,0,/fsr_data_acquisition,1,1,1,1
1455208146419452905,104,0,/fsr_data_acquisition,1,1,1,1
1455208146424443006,105,0,/fsr_data_acquisition,1,1,1,1
1455208146429694890,106,0,/fsr_data_acquisition,1,1,1,1
1455208146435086965,107,0,/fsr_data_acquisition,1,1,1,1
