%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.quat_x,field.quat_y,field.quat_z,field.quat_w,field.gyro_x,field.gyro_y,field.gyro_z,field.accel_x,field.accel_y,field.accel_z
1455208145940759897,1,0,/imu_data_acquisition2,8529.0,-0.102294921875,-0.127319335938,0.860900878906,0.481872558594,83.8125,55.25,19.0,-14.16,-1.51,0.07
1455208145950970888,2,0,/imu_data_acquisition2,8539.0,-0.10546875,-0.118469238281,0.860900878906,0.4833984375,74.125,84.75,0.625,-14.33,-0.67,-0.05
1455208145960920095,3,0,/imu_data_acquisition2,8549.0,-0.111022949219,-0.109619140625,0.859985351562,0.485900878906,60.125,112.3125,-12.125,-0.56,-7.36,2.28
1455208145975720882,4,0,/imu_data_acquisition2,8564.0,-0.117919921875,-0.098388671875,0.858581542969,0.489135742188,77.375,141.3125,-17.5625,-0.82,-8.15,12.59
1455208145984519958,5,0,/imu_data_acquisition2,8572.0,-0.124267578125,-0.0845336914062,0.856262207031,0.494201660156,108.125,153.0,-37.75,-0.82,-8.15,12.59
1455208145990626096,6,0,/imu_data_acquisition2,8579.0,-6.103515625e-05,-6.103515625e-05,-6.103515625e-05,0.498413085938,110.375,143.9375,-29.1875,-0.06,-0.77,5.93
1455208146000770092,7,0,/imu_data_acquisition2,8589.0,-0.132873535156,-0.0507202148438,0.853515625,0.501220703125,189.5625,152.8125,0.8125,-3.33,-0.8,12.81
1455208146015053987,8,0,/imu_data_acquisition2,8603.0,-0.127563476562,-0.0165405273438,0.854125976562,0.503967285156,381.625,149.875,26.5,-20.3,-2.75,34.74
1455208146021848917,9,0,/imu_data_acquisition2,8610.0,-0.119689941406,0.0076904296875,0.8544921875,0.505432128906,294.75,65.125,22.5625,-4.06,6.41,11.84
1455208146030843019,10,0,/imu_data_acquisition2,8619.0,-0.114074707031,0.01123046875,0.857116699219,0.502197265625,64.0,-0.0625,-0.0625,0.03,3.7,8.89
1455208146042243957,11,0,/imu_data_acquisition2,8630.0,-0.110534667969,0.017822265625,0.858032226562,0.501281738281,86.625,1.625,24.4375,-4.31,-0.45,15.81
1455208146050851106,12,0,/imu_data_acquisition2,8639.0,-0.107604980469,0.0204467773438,0.859497070312,0.499328613281,41.1875,-15.6875,32.5625,-2.85,0.46,10.37
1455208146060821056,13,0,/imu_data_acquisition2,8649.0,-0.106018066406,0.024658203125,0.859985351562,0.498596191406,51.0,8.6875,16.125,-4.98,8.7,16.94
1455208146072757005,14,0,/imu_data_acquisition2,8660.0,-0.105224609375,0.025634765625,0.860534667969,0.497680664062,13.375,-2.625,13.6875,-2.25,0.98,10.35
1455208146081192016,15,0,/imu_data_acquisition2,8669.0,-0.104858398438,0.0255737304688,0.86083984375,0.497314453125,1.5,-4.5625,5.625,-2.26,-0.79,-0.01
1455208146090694904,16,0,/imu_data_acquisition2,8679.0,-0.105163574219,0.0263061523438,0.860534667969,0.497741699219,5.5625,7.6875,-5.4375,-2.1,-0.48,9.38
1455208146102442979,17,0,/imu_data_acquisition2,8689.0,-0.105712890625,0.0267944335938,0.859985351562,0.49853515625,3.375,8.9375,-10.3125,-2.79,0.11,10.96
1455208146111138105,18,0,/imu_data_acquisition2,8699.0,-0.106262207031,0.027099609375,0.859375,0.499450683594,1.25,7.625,-13.25,-2.31,-1.68,9.39
1455208146120754003,19,0,/imu_data_acquisition2,8709.0,-0.106750488281,0.027587890625,0.858642578125,0.500610351562,3.8125,8.6875,-15.1875,-2.72,-1.8,8.57
1455208146131685972,20,0,/imu_data_acquisition2,8719.0,-0.107177734375,0.0279541015625,0.858032226562,0.501586914062,2.625,6.8125,-13.1875,-2.98,-2.47,8.76
1455208146141416072,21,0,/imu_data_acquisition2,8730.0,-0.107299804688,0.0283203125,0.857360839844,0.502563476562,3.9375,4.125,-13.4375,-2.62,-2.72,8.43
1455208146151252031,22,0,/imu_data_acquisition2,8740.0,-0.107177734375,0.02880859375,0.857055664062,0.503173828125,7.0625,1.5,-7.4375,-2.8,-2.63,9.06
1455208146163389921,23,0,/imu_data_acquisition2,8750.0,-0.106628417969,0.029296875,0.85693359375,0.503356933594,8.375,-2.4375,-1.9375,-2.9,-1.47,9.28
1455208146172199964,24,0,/imu_data_acquisition2,8760.0,-0.105651855469,0.0296020507812,0.857116699219,0.503356933594,8.6875,-7.875,2.0625,-2.74,-2.15,8.94
1455208146180874109,25,0,/imu_data_acquisition2,8769.0,-0.104370117188,0.0299682617188,0.857360839844,0.503173828125,10.75,-11.5625,4.1875,-2.85,-1.26,9.38
1455208146191433906,26,0,/imu_data_acquisition2,8780.0,-0.102844238281,0.0300903320312,0.857727050781,0.502807617188,9.5625,-15.0,6.4375,-2.43,-0.8,9.62
1455208146200814962,27,0,/imu_data_acquisition2,8789.0,-0.101379394531,0.0302124023438,0.858154296875,0.50244140625,9.8125,-14.5,6.875,-2.11,-1.24,9.85
1455208146210771083,28,0,/imu_data_acquisition2,8799.0,-0.0999755859375,0.0304565429688,0.858520507812,0.502075195312,9.75,-13.0625,6.5625,-2.28,-0.76,10.15
1455208146224472045,29,0,/imu_data_acquisition2,8812.0,-0.0988159179688,0.030517578125,0.858825683594,0.501770019531,7.25,-11.6875,5.25,-2.11,-0.27,9.98
