%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1541002847878551006,735,0,/fsr_data_acquisition,0,0,1,1
1541002847881628036,736,0,/fsr_data_acquisition,0,0,1,1
1541002847882113933,737,0,/fsr_data_acquisition,0,0,1,1
1541002847885972976,738,0,/fsr_data_acquisition,0,0,1,1
1541002847889799118,739,0,/fsr_data_acquisition,0,0,1,1
1541002847894717931,740,0,/fsr_data_acquisition,0,0,1,1
1541002847899772882,741,0,/fsr_data_acquisition,0,0,1,1
1541002847904884099,742,0,/fsr_data_acquisition,0,0,1,1
1541002847910010099,743,0,/fsr_data_acquisition,0,0,1,1
1541002847915607929,744,0,/fsr_data_acquisition,0,0,1,1
1541002847919677019,745,0,/fsr_data_acquisition,0,0,1,1
1541002847925349950,746,0,/fsr_data_acquisition,0,0,1,1
1541002847929795026,747,0,/fsr_data_acquisition,0,0,1,1
1541002847934820890,748,0,/fsr_data_acquisition,0,0,1,1
1541002847939949035,749,0,/fsr_data_acquisition,0,0,1,1
1541002847944976091,750,0,/fsr_data_acquisition,0,0,1,1
1541002847950038909,751,0,/fsr_data_acquisition,0,0,1,1
1541002847954804897,752,0,/fsr_data_acquisition,0,0,1,1
1541002847959965944,753,0,/fsr_data_acquisition,0,0,1,1
1541002847965533018,754,0,/fsr_data_acquisition,0,0,1,1
1541002847970170974,755,0,/fsr_data_acquisition,0,0,0,1
1541002847975538969,756,0,/fsr_data_acquisition,0,0,0,1
1541002847979677915,757,0,/fsr_data_acquisition,0,0,0,1
1541002847984976053,758,0,/fsr_data_acquisition,0,0,0,1
1541002847989976882,759,0,/fsr_data_acquisition,0,0,0,1
1541002847994952917,760,0,/fsr_data_acquisition,0,0,0,1
1541002848000175952,761,0,/fsr_data_acquisition,0,0,0,1
1541002848006350994,762,0,/fsr_data_acquisition,0,0,0,1
1541002848012216091,763,0,/fsr_data_acquisition,0,0,0,1
1541002848015958070,764,0,/fsr_data_acquisition,0,0,0,1
1541002848019937992,765,0,/fsr_data_acquisition,0,0,0,1
1541002848027563095,766,0,/fsr_data_acquisition,0,0,0,1
1541002848032218933,767,0,/fsr_data_acquisition,0,0,0,1
1541002848038026094,768,0,/fsr_data_acquisition,0,0,0,1
1541002848047127962,769,0,/fsr_data_acquisition,0,0,0,1
1541002848049719095,770,0,/fsr_data_acquisition,0,0,0,1
1541002848050581932,771,0,/fsr_data_acquisition,0,0,0,1
1541002848061988115,772,0,/fsr_data_acquisition,0,0,0,1
1541002848063610076,773,0,/fsr_data_acquisition,0,0,0,1
1541002848066881895,774,0,/fsr_data_acquisition,0,0,0,1
1541002848071163892,775,0,/fsr_data_acquisition,0,0,0,1
1541002848077157974,776,0,/fsr_data_acquisition,0,0,0,1
1541002848080645084,777,0,/fsr_data_acquisition,0,0,0,1
1541002848088208913,778,0,/fsr_data_acquisition,0,0,0,1
1541002848100155115,780,0,/fsr_data_acquisition,0,0,0,1
1541002848102638006,781,0,/fsr_data_acquisition,0,0,0,1
1541002848107947111,782,0,/fsr_data_acquisition,0,0,0,1
1541002848111569881,783,0,/fsr_data_acquisition,0,0,0,1
1541002848115530967,784,0,/fsr_data_acquisition,0,0,0,1
1541002848122590065,785,0,/fsr_data_acquisition,0,0,0,1
1541002848127571105,786,0,/fsr_data_acquisition,0,0,0,1
1541002848131019115,787,0,/fsr_data_acquisition,0,0,0,1
1541002848136964082,788,0,/fsr_data_acquisition,0,0,0,1
1541002848142632007,789,0,/fsr_data_acquisition,0,0,0,1
1541002848145379066,790,0,/fsr_data_acquisition,0,0,0,1
