%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1540941220566581964,5963,0,/fsr_data_acquisition,1,1,1,1
1540941220567950010,5964,0,/fsr_data_acquisition,1,1,1,1
1540941220568476915,5965,0,/fsr_data_acquisition,1,1,1,1
1540941220568878889,5966,0,/fsr_data_acquisition,1,1,1,1
1540941220569294929,5967,0,/fsr_data_acquisition,1,1,1,1
1540941220574927091,5968,0,/fsr_data_acquisition,1,1,1,1
1540941220577426910,5969,0,/fsr_data_acquisition,1,1,1,1
1540941220585230112,5970,0,/fsr_data_acquisition,1,1,1,1
1540941220586539983,5971,0,/fsr_data_acquisition,1,1,1,1
1540941220591486930,5972,0,/fsr_data_acquisition,1,1,1,1
1540941220597249031,5973,0,/fsr_data_acquisition,1,1,1,1
1540941220601408004,5974,0,/fsr_data_acquisition,1,1,1,1
1540941220606041908,5975,0,/fsr_data_acquisition,1,1,1,1
1540941220611572980,5976,0,/fsr_data_acquisition,1,1,1,1
1540941220617733955,5977,0,/fsr_data_acquisition,1,1,1,1
1540941220624996900,5978,0,/fsr_data_acquisition,1,1,1,1
1540941220626681089,5979,0,/fsr_data_acquisition,1,1,1,1
1540941220633467912,5980,0,/fsr_data_acquisition,1,1,1,1
1540941220636909961,5981,0,/fsr_data_acquisition,1,1,1,0
1540941220640777111,5982,0,/fsr_data_acquisition,1,1,1,0
1540941220648082971,5983,0,/fsr_data_acquisition,1,1,1,0
1540941220650552988,5984,0,/fsr_data_acquisition,1,1,1,0
1540941220655848026,5985,0,/fsr_data_acquisition,1,1,1,0
1540941220668898105,5987,0,/fsr_data_acquisition,1,1,1,0
1540941220672648906,5988,0,/fsr_data_acquisition,1,1,1,0
1540941220677076101,5989,0,/fsr_data_acquisition,1,1,1,0
1540941220681868076,5990,0,/fsr_data_acquisition,1,1,1,0
1540941220687143087,5991,0,/fsr_data_acquisition,1,1,1,0
1540941220690879106,5992,0,/fsr_data_acquisition,1,1,1,0
1540941220696011066,5993,0,/fsr_data_acquisition,1,1,1,0
1540941220701075077,5994,0,/fsr_data_acquisition,1,1,1,0
1540941220706166982,5995,0,/fsr_data_acquisition,1,1,1,0
1540941220711395025,5996,0,/fsr_data_acquisition,1,1,1,0
1540941220726777076,5997,0,/fsr_data_acquisition,1,1,1,0
1540941220729036092,5998,0,/fsr_data_acquisition,1,1,1,0
1540941220732119083,6000,0,/fsr_data_acquisition,1,1,1,0
1540941220737766981,6001,0,/fsr_data_acquisition,1,1,1,0
1540941220741972923,6002,0,/fsr_data_acquisition,1,1,1,0
1540941220746222972,6003,0,/fsr_data_acquisition,1,1,1,0
1540941220754060983,6004,0,/fsr_data_acquisition,1,1,1,0
1540941220757611036,6005,0,/fsr_data_acquisition,1,1,1,0
1540941220760658025,6006,0,/fsr_data_acquisition,1,1,1,0
1540941220770051002,6007,0,/fsr_data_acquisition,1,1,1,0
1540941220778194904,6009,0,/fsr_data_acquisition,1,1,1,0
1540941220786633014,6010,0,/fsr_data_acquisition,1,1,1,0
1540941220795382976,6012,0,/fsr_data_acquisition,1,1,1,0
1540941220798099040,6013,0,/fsr_data_acquisition,1,1,1,0
1540941220808414936,6014,0,/fsr_data_acquisition,1,1,1,0
1540941220810919046,6015,0,/fsr_data_acquisition,1,1,1,0
1540941220812067031,6016,0,/fsr_data_acquisition,1,1,1,0
1540941220815869092,6017,0,/fsr_data_acquisition,1,1,1,0
1540941220823601961,6018,0,/fsr_data_acquisition,1,1,1,0
1540941220827066898,6019,0,/fsr_data_acquisition,1,1,1,0
1540941220832168102,6020,0,/fsr_data_acquisition,1,1,1,0
1540941220845201969,6022,0,/fsr_data_acquisition,1,1,1,0
1540941220847954988,6023,0,/fsr_data_acquisition,1,1,1,0
1540941220851758003,6024,0,/fsr_data_acquisition,1,1,1,0
1540941220876362085,6028,0,/fsr_data_acquisition,1,1,1,0
1540941220882106065,6029,0,/fsr_data_acquisition,1,1,1,0
1540941220884716033,6030,0,/fsr_data_acquisition,1,1,1,0
1540941220889087915,6031,0,/fsr_data_acquisition,1,1,1,0
1540941220898878097,6032,0,/fsr_data_acquisition,1,1,1,0
1540941220906862020,6033,0,/fsr_data_acquisition,1,1,1,0
1540941220909535884,6034,0,/fsr_data_acquisition,1,1,1,0
1540941220912703990,6035,0,/fsr_data_acquisition,1,1,1,0
1540941220919718980,6036,0,/fsr_data_acquisition,1,1,1,0
1540941220924680948,6037,0,/fsr_data_acquisition,1,1,1,0
1540941220927050113,6038,0,/fsr_data_acquisition,1,1,1,0
1540941220928313016,6039,0,/fsr_data_acquisition,1,1,1,0
1540941220934030055,6040,0,/fsr_data_acquisition,1,1,1,0
1540941220940932989,6041,0,/fsr_data_acquisition,1,1,1,0
1540941220944715023,6042,0,/fsr_data_acquisition,1,1,1,0
1540941220948201894,6043,0,/fsr_data_acquisition,1,1,1,0
1540941220959291934,6045,0,/fsr_data_acquisition,1,1,1,0
1540941220962260007,6046,0,/fsr_data_acquisition,1,1,1,0
1540941220966253995,6047,0,/fsr_data_acquisition,1,1,1,0
1540941220970935106,6048,0,/fsr_data_acquisition,1,1,1,0
1540941220980073928,6049,0,/fsr_data_acquisition,1,1,1,0
1540941220983377933,6050,0,/fsr_data_acquisition,1,1,1,0
1540941221001068115,6053,0,/fsr_data_acquisition,1,1,1,0
1540941221002320051,6054,0,/fsr_data_acquisition,1,1,1,0
1540941221007678031,6055,0,/fsr_data_acquisition,1,1,1,0
1540941221024816036,6056,0,/fsr_data_acquisition,1,1,1,0
1540941221026696920,6057,0,/fsr_data_acquisition,1,1,1,0
1540941221028633117,6058,0,/fsr_data_acquisition,1,1,1,0
1540941221032418012,6059,0,/fsr_data_acquisition,1,1,1,0
1540941221038784027,6060,0,/fsr_data_acquisition,1,1,1,0
1540941221040143013,6061,0,/fsr_data_acquisition,1,1,1,0
1540941221041970014,6062,0,/fsr_data_acquisition,1,1,1,0
1540941221067548036,6063,0,/fsr_data_acquisition,1,1,1,0
1540941221068924903,6064,0,/fsr_data_acquisition,1,1,1,0
1540941221069750070,6065,0,/fsr_data_acquisition,1,1,1,0
1540941221071187019,6066,0,/fsr_data_acquisition,1,1,1,0
1540941221074850082,6067,0,/fsr_data_acquisition,1,1,1,0
1540941221080408096,6068,0,/fsr_data_acquisition,1,1,1,0
1540941221082736968,6069,0,/fsr_data_acquisition,1,1,1,0
1540941221086729049,6070,0,/fsr_data_acquisition,1,1,1,0
1540941221087734937,6071,0,/fsr_data_acquisition,0,1,1,0
1540941221090866088,6072,0,/fsr_data_acquisition,0,1,1,0
1540941221099414110,6073,0,/fsr_data_acquisition,0,1,1,0
1540941221102452039,6074,0,/fsr_data_acquisition,0,1,1,0
1540941221110205888,6075,0,/fsr_data_acquisition,0,1,1,0
1540941221113933086,6076,0,/fsr_data_acquisition,0,1,1,0
1540941221118077993,6077,0,/fsr_data_acquisition,0,1,0,0
1540941221121486902,6078,0,/fsr_data_acquisition,1,0,0,0
1540941221126225948,6079,0,/fsr_data_acquisition,0,0,0,0
1540941221146476984,6080,0,/fsr_data_acquisition,0,0,0,0
1540941221149539947,6081,0,/fsr_data_acquisition,0,0,0,0
1540941221152070999,6082,0,/fsr_data_acquisition,0,0,0,0
1540941221157043933,6083,0,/fsr_data_acquisition,0,0,0,0
1540941221158358097,6084,0,/fsr_data_acquisition,0,0,0,0
1540941221159439086,6085,0,/fsr_data_acquisition,0,0,0,0
1540941221160310029,6086,0,/fsr_data_acquisition,0,0,0,0
1540941221166687965,6087,0,/fsr_data_acquisition,0,0,0,0
1540941221172111034,6088,0,/fsr_data_acquisition,0,0,0,0
1540941221177907943,6089,0,/fsr_data_acquisition,0,0,0,0
1540941221193348884,6090,0,/fsr_data_acquisition,0,0,0,0
1540941221194611072,6091,0,/fsr_data_acquisition,0,0,0,0
1540941221195348978,6092,0,/fsr_data_acquisition,0,0,0,0
1540941221211888074,6093,0,/fsr_data_acquisition,0,0,0,0
1540941221227277994,6094,0,/fsr_data_acquisition,0,0,0,0
1540941221228477001,6095,0,/fsr_data_acquisition,0,0,0,0
1540941221233138084,6096,0,/fsr_data_acquisition,0,0,0,0
1540941221235037088,6097,0,/fsr_data_acquisition,0,0,0,0
1540941221237632036,6098,0,/fsr_data_acquisition,0,0,0,0
1540941221238590002,6099,0,/fsr_data_acquisition,0,0,0,0
1540941221243273019,6100,0,/fsr_data_acquisition,0,0,0,0
1540941221249130964,6101,0,/fsr_data_acquisition,0,0,0,0
1540941221251481056,6102,0,/fsr_data_acquisition,0,0,0,0
1540941221253082036,6103,0,/fsr_data_acquisition,0,0,0,0
1540941221259717941,6104,0,/fsr_data_acquisition,0,0,0,0
1540941221264446973,6105,0,/fsr_data_acquisition,0,0,0,0
1540941221266464948,6106,0,/fsr_data_acquisition,0,0,0,0
1540941221270931005,6107,0,/fsr_data_acquisition,0,0,0,0
1540941221272305965,6108,0,/fsr_data_acquisition,0,0,0,0
1540941221281011104,6109,0,/fsr_data_acquisition,0,0,0,0
1540941221287477016,6110,0,/fsr_data_acquisition,0,0,0,0
1540941221288737058,6111,0,/fsr_data_acquisition,0,0,0,0
1540941221298530101,6112,0,/fsr_data_acquisition,0,0,0,0
1540941221301873922,6113,0,/fsr_data_acquisition,0,0,0,0
1540941221303971052,6114,0,/fsr_data_acquisition,0,0,0,0
1540941221306592941,6115,0,/fsr_data_acquisition,0,1,0,0
1540941221313792943,6116,0,/fsr_data_acquisition,0,0,0,0
1540941221322931051,6117,0,/fsr_data_acquisition,0,0,0,0
1540941221337110996,6118,0,/fsr_data_acquisition,1,0,0,0
1540941221338732004,6119,0,/fsr_data_acquisition,0,1,0,0
1540941221341454982,6120,0,/fsr_data_acquisition,0,0,0,0
1540941221342523097,6121,0,/fsr_data_acquisition,0,0,0,0
1540941221356309890,6122,0,/fsr_data_acquisition,0,0,0,0
1540941221357981920,6123,0,/fsr_data_acquisition,0,0,0,0
1540941221368613958,6124,0,/fsr_data_acquisition,0,0,0,0
1540941221372467994,6125,0,/fsr_data_acquisition,0,0,0,0
1540941221373584032,6126,0,/fsr_data_acquisition,0,0,0,0
1540941221374372005,6127,0,/fsr_data_acquisition,0,1,0,0
1540941221375227928,6128,0,/fsr_data_acquisition,1,0,0,0
1540941221384037017,6129,0,/fsr_data_acquisition,0,1,0,0
1540941221386096000,6130,0,/fsr_data_acquisition,0,1,0,0
1540941221387554883,6131,0,/fsr_data_acquisition,0,0,0,0
1540941221393201112,6132,0,/fsr_data_acquisition,0,0,0,0
1540941221404563903,6133,0,/fsr_data_acquisition,0,0,0,0
1540941221407553911,6134,0,/fsr_data_acquisition,0,1,0,0
1540941221408936023,6135,0,/fsr_data_acquisition,0,0,0,0
1540941221413278102,6136,0,/fsr_data_acquisition,0,0,0,0
1540941221416708946,6137,0,/fsr_data_acquisition,0,1,0,0
1540941221424051046,6138,0,/fsr_data_acquisition,0,1,0,0
1540941221427335977,6139,0,/fsr_data_acquisition,0,1,0,0
1540941221432780027,6140,0,/fsr_data_acquisition,0,1,0,0
1540941221438446998,6141,0,/fsr_data_acquisition,0,1,0,0
1540941221440654039,6142,0,/fsr_data_acquisition,0,1,0,0
1540941221463845968,6146,0,/fsr_data_acquisition,0,1,0,0
1540941221483289957,6150,0,/fsr_data_acquisition,0,1,0,0
1540941221488091945,6151,0,/fsr_data_acquisition,0,1,0,0
1540941221510279893,6152,0,/fsr_data_acquisition,0,1,0,0
1540941221512644052,6153,0,/fsr_data_acquisition,0,1,0,0
1540941221518198966,6154,0,/fsr_data_acquisition,0,1,0,0
1540941221522594928,6155,0,/fsr_data_acquisition,0,1,0,0
1540941221527729988,6156,0,/fsr_data_acquisition,0,1,0,0
1540941221528991937,6157,0,/fsr_data_acquisition,0,1,0,0
1540941221535537004,6158,0,/fsr_data_acquisition,0,1,0,0
1540941221540389060,6159,0,/fsr_data_acquisition,0,1,0,0
1540941221544213056,6160,0,/fsr_data_acquisition,0,1,0,0
1540941221549552917,6161,0,/fsr_data_acquisition,0,1,0,0
1540941221555422067,6162,0,/fsr_data_acquisition,0,1,0,0
1540941221558207035,6163,0,/fsr_data_acquisition,0,1,0,0
1540941221562825918,6164,0,/fsr_data_acquisition,0,1,0,0
1540941221706324100,6165,0,/fsr_data_acquisition,0,1,0,0
1540941221719501018,6166,0,/fsr_data_acquisition,0,1,0,0
1540941221721860885,6167,0,/fsr_data_acquisition,0,1,0,0
1540941221723519086,6168,0,/fsr_data_acquisition,0,1,1,0
1540941221725483894,6169,0,/fsr_data_acquisition,0,0,0,0
1540941221726639986,6170,0,/fsr_data_acquisition,0,0,0,0
1540941221727960109,6176,0,/fsr_data_acquisition,0,1,0,0
1540941221737620115,6177,0,/fsr_data_acquisition,0,1,0,0
1540941221738323926,6178,0,/fsr_data_acquisition,0,0,0,0
1540941221739281892,6179,0,/fsr_data_acquisition,0,0,0,0
1540941221741940975,6180,0,/fsr_data_acquisition,0,0,0,0
1540941221743478059,6181,0,/fsr_data_acquisition,0,0,0,0
1540941221745131969,6182,0,/fsr_data_acquisition,0,0,0,0
1540941221746365070,6183,0,/fsr_data_acquisition,0,0,0,0
1540941221748403072,6184,0,/fsr_data_acquisition,0,0,0,0
1540941221750809907,6185,0,/fsr_data_acquisition,0,0,0,0
1540941221754729986,6186,0,/fsr_data_acquisition,0,0,0,0
1540941221755558967,6187,0,/fsr_data_acquisition,0,0,0,0
1540941221757369041,6188,0,/fsr_data_acquisition,0,0,1,0
1540941221758624076,6189,0,/fsr_data_acquisition,0,0,0,0
1540941221760926961,6190,0,/fsr_data_acquisition,0,0,0,0
1540941221761786937,6191,0,/fsr_data_acquisition,0,0,0,0
1540941221762613058,6192,0,/fsr_data_acquisition,0,0,0,0
1540941221764374971,6193,0,/fsr_data_acquisition,0,0,0,0
1540941221767409086,6194,0,/fsr_data_acquisition,0,0,0,0
1540941221769292116,6195,0,/fsr_data_acquisition,0,0,0,0
1540941221773932933,6196,0,/fsr_data_acquisition,0,0,0,0
1540941221775481939,6197,0,/fsr_data_acquisition,0,0,0,0
1540941221776499986,6198,0,/fsr_data_acquisition,0,0,0,0
1540941221777204990,6199,0,/fsr_data_acquisition,0,0,0,0
1540941221778251886,6200,0,/fsr_data_acquisition,0,0,1,0
1540941221785655975,6201,0,/fsr_data_acquisition,0,1,0,0
1540941221787492990,6202,0,/fsr_data_acquisition,0,0,0,0
1540941221789170980,6203,0,/fsr_data_acquisition,0,0,1,0
1540941221790513038,6204,0,/fsr_data_acquisition,0,0,0,0
1540941221791388988,6205,0,/fsr_data_acquisition,0,0,1,0
1540941221794215917,6206,0,/fsr_data_acquisition,0,0,1,0
1540941221795052051,6207,0,/fsr_data_acquisition,0,0,0,0
1540941221795881032,6208,0,/fsr_data_acquisition,0,0,0,0
1540941221796545982,6209,0,/fsr_data_acquisition,0,0,0,0
1540941221797677040,6210,0,/fsr_data_acquisition,0,0,0,0
1540941221803634881,6211,0,/fsr_data_acquisition,0,0,0,0
1540941221806257963,6212,0,/fsr_data_acquisition,0,0,0,0
1540941221808306932,6213,0,/fsr_data_acquisition,0,0,0,1
1540941221812786102,6214,0,/fsr_data_acquisition,0,0,0,1
1540941221818279981,6215,0,/fsr_data_acquisition,0,0,0,1
1540941221827470064,6216,0,/fsr_data_acquisition,0,0,0,1
1540941221828737020,6217,0,/fsr_data_acquisition,0,0,0,1
1540941221834683895,6218,0,/fsr_data_acquisition,0,0,0,1
1540941221840640068,6219,0,/fsr_data_acquisition,0,0,0,1
1540941221845535039,6220,0,/fsr_data_acquisition,0,0,0,1
1540941221848856925,6221,0,/fsr_data_acquisition,0,0,0,1
1540941221856255054,6222,0,/fsr_data_acquisition,0,1,1,1
1540941221859863042,6223,0,/fsr_data_acquisition,0,1,1,1
1540941221865082025,6224,0,/fsr_data_acquisition,0,1,1,1
1540941221868743896,6225,0,/fsr_data_acquisition,0,1,1,1
1540941221916304111,6226,0,/fsr_data_acquisition,0,1,1,1
1540941221920810937,6227,0,/fsr_data_acquisition,0,1,1,1
1540941221922514915,6228,0,/fsr_data_acquisition,0,1,1,1
1540941221924556970,6229,0,/fsr_data_acquisition,0,1,1,1
1540941221925762891,6230,0,/fsr_data_acquisition,0,1,1,1
1540941221926758050,6231,0,/fsr_data_acquisition,0,1,1,1
1540941221927742004,6232,0,/fsr_data_acquisition,0,1,1,1
1540941221928713083,6233,0,/fsr_data_acquisition,0,1,1,1
1540941221931070089,6234,0,/fsr_data_acquisition,0,1,1,1
1540941221933238029,6235,0,/fsr_data_acquisition,0,1,1,1
1540941221935772895,6236,0,/fsr_data_acquisition,0,1,1,1
1540941221938293933,6237,0,/fsr_data_acquisition,0,1,1,1
1540941221943454027,6238,0,/fsr_data_acquisition,0,1,1,1
1540941221949404954,6240,0,/fsr_data_acquisition,0,1,1,1
1540941221950922966,6241,0,/fsr_data_acquisition,0,1,1,1
1540941221953289031,6242,0,/fsr_data_acquisition,0,1,1,1
1540941221969537019,6243,0,/fsr_data_acquisition,0,1,1,1
1540941221977782011,6244,0,/fsr_data_acquisition,0,1,1,1
1540941221983433961,6245,0,/fsr_data_acquisition,1,1,1,1
1540941222021421909,6246,0,/fsr_data_acquisition,1,1,1,1
1540941222023314952,6247,0,/fsr_data_acquisition,1,1,1,1
1540941222024920940,6248,0,/fsr_data_acquisition,1,1,1,1
1540941222025743961,6249,0,/fsr_data_acquisition,1,1,1,1
1540941222026493072,6250,0,/fsr_data_acquisition,1,1,1,1
1540941222027874946,6251,0,/fsr_data_acquisition,1,1,1,1
1540941222028651952,6252,0,/fsr_data_acquisition,1,1,1,1
1540941222029405117,6253,0,/fsr_data_acquisition,1,1,1,1
1540941222037659883,6254,0,/fsr_data_acquisition,1,1,1,1
1540941222038722038,6255,0,/fsr_data_acquisition,1,1,1,1
1540941222043401002,6256,0,/fsr_data_acquisition,1,1,1,1
1540941222054071903,6257,0,/fsr_data_acquisition,1,1,1,1
1540941222058757066,6258,0,/fsr_data_acquisition,1,1,1,1
1540941222059519052,6259,0,/fsr_data_acquisition,1,1,1,1
1540941222060117006,6260,0,/fsr_data_acquisition,1,1,1,1
1540941222063616991,6261,0,/fsr_data_acquisition,1,1,1,1
1540941222064723014,6262,0,/fsr_data_acquisition,1,1,1,1
1540941222066031932,6263,0,/fsr_data_acquisition,1,1,1,1
1540941222069840908,6264,0,/fsr_data_acquisition,1,1,1,1
1540941222087867021,6265,0,/fsr_data_acquisition,1,1,1,1
1540941222106084108,6266,0,/fsr_data_acquisition,1,1,1,1
1540941222106895923,6267,0,/fsr_data_acquisition,1,1,1,1
1540941222119206905,6268,0,/fsr_data_acquisition,1,1,1,1
1540941222120610952,6269,0,/fsr_data_acquisition,1,1,1,1
1540941222140965938,6270,0,/fsr_data_acquisition,1,1,1,1
1540941222141947031,6271,0,/fsr_data_acquisition,1,1,1,1
1540941222142829895,6272,0,/fsr_data_acquisition,1,1,1,1
1540941222145477056,6273,0,/fsr_data_acquisition,1,1,1,1
1540941222155236005,6274,0,/fsr_data_acquisition,1,1,1,1
1540941222156411886,6275,0,/fsr_data_acquisition,1,1,1,1
1540941222157721996,6276,0,/fsr_data_acquisition,1,1,1,1
1540941222158837080,6277,0,/fsr_data_acquisition,1,1,1,1
1540941222159701108,6278,0,/fsr_data_acquisition,1,1,1,1
1540941222166111946,6279,0,/fsr_data_acquisition,1,1,1,1
1540941222167646884,6280,0,/fsr_data_acquisition,1,1,1,1
1540941222169187068,6281,0,/fsr_data_acquisition,1,1,1,1
1540941222172022104,6282,0,/fsr_data_acquisition,1,1,1,1
1540941222174359083,6283,0,/fsr_data_acquisition,1,1,1,1
1540941222175595998,6284,0,/fsr_data_acquisition,1,1,1,1
1540941222179213047,6285,0,/fsr_data_acquisition,1,1,1,1
1540941222182740926,6286,0,/fsr_data_acquisition,1,1,1,1
1540941222183991909,6287,0,/fsr_data_acquisition,1,1,1,1
1540941222189798116,6288,0,/fsr_data_acquisition,1,1,1,1
1540941222222980976,6289,0,/fsr_data_acquisition,1,1,1,1
1540941222239041090,6290,0,/fsr_data_acquisition,1,1,1,1
1540941222239905118,6291,0,/fsr_data_acquisition,1,1,1,1
1540941222257836103,6292,0,/fsr_data_acquisition,1,1,1,1
1540941222285855054,6294,0,/fsr_data_acquisition,1,1,1,1
1540941222287512063,6295,0,/fsr_data_acquisition,1,1,1,1
1540941222289865970,6296,0,/fsr_data_acquisition,1,1,1,1
1540941222299046993,6297,0,/fsr_data_acquisition,1,1,1,1
1540941222299830913,6298,0,/fsr_data_acquisition,1,1,1,1
1540941222301197052,6299,0,/fsr_data_acquisition,1,1,1,1
1540941222302871942,6300,0,/fsr_data_acquisition,1,1,1,1
1540941222305119037,6303,0,/fsr_data_acquisition,1,1,1,1
1540941222315491914,6304,0,/fsr_data_acquisition,1,1,1,1
1540941222316518068,6305,0,/fsr_data_acquisition,1,1,1,1
1540941222318856954,6306,0,/fsr_data_acquisition,1,1,1,1
1540941222322822093,6307,0,/fsr_data_acquisition,1,1,1,1
1540941222326601982,6308,0,/fsr_data_acquisition,1,1,1,1
1540941222329000949,6309,0,/fsr_data_acquisition,1,1,1,1
1540941222330086946,6310,0,/fsr_data_acquisition,1,1,1,1
1540941222333635091,6311,0,/fsr_data_acquisition,1,1,1,1
1540941222335587024,6312,0,/fsr_data_acquisition,1,1,1,1
1540941222347898006,6313,0,/fsr_data_acquisition,1,1,1,1
1540941222349150896,6314,0,/fsr_data_acquisition,1,1,1,1
1540941222351329088,6315,0,/fsr_data_acquisition,1,1,1,1
1540941222352297067,6316,0,/fsr_data_acquisition,1,1,1,1
1540941222360609054,6317,0,/fsr_data_acquisition,1,1,1,1
1540941222366844892,6318,0,/fsr_data_acquisition,1,1,1,1
1540941222376861095,6319,0,/fsr_data_acquisition,1,1,1,1
1540941222384423971,6320,0,/fsr_data_acquisition,1,1,1,1
1540941222386673927,6321,0,/fsr_data_acquisition,1,1,1,1
1540941222482471942,6322,0,/fsr_data_acquisition,1,1,1,1
1540941222487093925,6323,0,/fsr_data_acquisition,1,1,1,1
1540941222499480009,6324,0,/fsr_data_acquisition,1,1,1,1
1540941222506131887,6325,0,/fsr_data_acquisition,1,1,1,1
1540941222512206077,6326,0,/fsr_data_acquisition,1,1,1,1
1540941222513575077,6327,0,/fsr_data_acquisition,1,1,1,1
1540941222515146970,6328,0,/fsr_data_acquisition,1,1,1,1
1540941222519226074,6329,0,/fsr_data_acquisition,1,1,1,1
1540941222521373033,6330,0,/fsr_data_acquisition,1,1,1,1
1540941222528395891,6331,0,/fsr_data_acquisition,1,1,1,1
1540941222529463052,6332,0,/fsr_data_acquisition,1,1,1,1
1540941222530297994,6333,0,/fsr_data_acquisition,1,1,1,1
1540941222538985013,6334,0,/fsr_data_acquisition,1,1,1,1
1540941222541269063,6335,0,/fsr_data_acquisition,1,1,1,1
1540941222544497966,6336,0,/fsr_data_acquisition,1,1,1,1
1540941222547791957,6337,0,/fsr_data_acquisition,1,1,1,1
1540941222568589925,6338,0,/fsr_data_acquisition,1,1,1,1
1540941222569813966,6339,0,/fsr_data_acquisition,1,1,1,1
1540941222570910930,6340,0,/fsr_data_acquisition,1,1,1,1
1540941222572745084,6341,0,/fsr_data_acquisition,1,1,1,1
1540941222573435068,6342,0,/fsr_data_acquisition,1,1,1,1
1540941222574187040,6343,0,/fsr_data_acquisition,1,1,1,1
1540941222574867010,6344,0,/fsr_data_acquisition,1,1,1,1
1540941222575506925,6345,0,/fsr_data_acquisition,1,1,1,1
1540941222577344894,6346,0,/fsr_data_acquisition,1,1,1,1
1540941222578855991,6347,0,/fsr_data_acquisition,1,1,1,1
1540941222588854074,6348,0,/fsr_data_acquisition,1,1,1,1
1540941222590266942,6349,0,/fsr_data_acquisition,1,1,1,1
1540941222593111038,6350,0,/fsr_data_acquisition,1,1,1,1
1540941222595371007,6351,0,/fsr_data_acquisition,1,1,1,1
1540941222599011898,6352,0,/fsr_data_acquisition,1,1,1,1
1540941222599936008,6353,0,/fsr_data_acquisition,1,1,1,1
1540941222605135917,6354,0,/fsr_data_acquisition,1,1,1,1
1540941222608234882,6355,0,/fsr_data_acquisition,1,1,1,1
1540941222609255075,6356,0,/fsr_data_acquisition,1,1,1,1
1540941222609937906,6357,0,/fsr_data_acquisition,1,1,1,1
1540941222610856056,6358,0,/fsr_data_acquisition,1,1,1,1
1540941222612880945,6359,0,/fsr_data_acquisition,1,1,1,1
1540941222613595962,6360,0,/fsr_data_acquisition,1,1,1,1
1540941222614577054,6361,0,/fsr_data_acquisition,1,1,1,1
1540941222618524074,6362,0,/fsr_data_acquisition,1,1,1,1
1540941222620711088,6363,0,/fsr_data_acquisition,1,1,1,1
1540941222625494956,6364,0,/fsr_data_acquisition,1,1,1,1
1540941222664247989,6365,0,/fsr_data_acquisition,1,1,1,1
1540941222665549039,6366,0,/fsr_data_acquisition,1,1,1,1
1540941222669667005,6367,0,/fsr_data_acquisition,1,1,1,1
1540941222670964002,6368,0,/fsr_data_acquisition,1,1,1,1
1540941222673224925,6369,0,/fsr_data_acquisition,1,1,1,1
1540941222678205966,6370,0,/fsr_data_acquisition,1,1,1,1
1540941222679301023,6371,0,/fsr_data_acquisition,1,1,1,1
1540941222692663908,6372,0,/fsr_data_acquisition,1,1,1,1
1540941222693490028,6373,0,/fsr_data_acquisition,1,1,1,1
1540941222694467067,6374,0,/fsr_data_acquisition,1,1,1,1
1540941222695225000,6375,0,/fsr_data_acquisition,1,1,1,1
1540941222697227001,6376,0,/fsr_data_acquisition,1,1,1,1
1540941222699326992,6377,0,/fsr_data_acquisition,1,1,1,1
1540941222700644969,6378,0,/fsr_data_acquisition,1,1,1,1
1540941222725481033,6379,0,/fsr_data_acquisition,1,1,1,1
