%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1541188492662554979,5577,0,/fsr_data_acquisition,0,0,1,1
1541188492666197061,5578,0,/fsr_data_acquisition,0,0,1,1
1541188492673201084,5579,0,/fsr_data_acquisition,0,0,1,1
1541188492675205945,5580,0,/fsr_data_acquisition,0,0,1,1
1541188492676187992,5581,0,/fsr_data_acquisition,0,0,1,1
1541188492676981925,5582,0,/fsr_data_acquisition,0,0,1,1
1541188492677853107,5583,0,/fsr_data_acquisition,0,0,1,1
1541188492679065942,5584,0,/fsr_data_acquisition,0,0,1,1
1541188492679562091,5585,0,/fsr_data_acquisition,0,0,1,1
1541188492679949045,5586,0,/fsr_data_acquisition,0,0,1,1
1541188492683407068,5587,0,/fsr_data_acquisition,0,0,1,1
1541188492688182115,5588,0,/fsr_data_acquisition,1,0,1,1
1541188492693222999,5589,0,/fsr_data_acquisition,0,0,1,1
1541188492698179960,5590,0,/fsr_data_acquisition,0,1,1,1
1541188492703237056,5591,0,/fsr_data_acquisition,0,0,1,1
1541188492708148956,5592,0,/fsr_data_acquisition,0,0,1,1
1541188492713201045,5593,0,/fsr_data_acquisition,0,0,1,1
1541188492718067884,5594,0,/fsr_data_acquisition,0,0,1,1
1541188492723367929,5595,0,/fsr_data_acquisition,0,0,1,1
1541188492728209018,5596,0,/fsr_data_acquisition,0,0,1,1
1541188492733164072,5597,0,/fsr_data_acquisition,0,0,1,1
1541188492738142967,5598,0,/fsr_data_acquisition,0,0,1,1
1541188492743171930,5599,0,/fsr_data_acquisition,0,0,1,1
1541188492748223066,5600,0,/fsr_data_acquisition,0,0,1,1
1541188492753170967,5601,0,/fsr_data_acquisition,0,0,1,1
1541188492759358882,5602,0,/fsr_data_acquisition,0,0,1,1
1541188492767087936,5603,0,/fsr_data_acquisition,0,0,1,1
1541188492769573926,5604,0,/fsr_data_acquisition,0,0,1,1
1541188492773351907,5605,0,/fsr_data_acquisition,0,0,1,1
1541188492778902053,5606,0,/fsr_data_acquisition,0,0,1,1
1541188492786870002,5607,0,/fsr_data_acquisition,0,0,1,1
1541188492789917945,5608,0,/fsr_data_acquisition,0,0,1,1
1541188492795264959,5609,0,/fsr_data_acquisition,0,0,1,1
1541188492801822900,5610,0,/fsr_data_acquisition,0,0,1,1
1541188492804229974,5611,0,/fsr_data_acquisition,0,0,1,1
1541188492808387994,5612,0,/fsr_data_acquisition,0,0,1,1
1541188492815421104,5613,0,/fsr_data_acquisition,0,0,1,1
1541188492819477081,5614,0,/fsr_data_acquisition,0,0,1,1
1541188492824146032,5615,0,/fsr_data_acquisition,1,0,1,1
1541188492829377889,5616,0,/fsr_data_acquisition,0,0,1,1
1541188492835187911,5617,0,/fsr_data_acquisition,0,0,1,1
1541188492838644027,5618,0,/fsr_data_acquisition,0,0,1,1
1541188492843317985,5619,0,/fsr_data_acquisition,0,0,1,1
1541188492856512069,5620,0,/fsr_data_acquisition,1,0,1,1
1541188492858211994,5621,0,/fsr_data_acquisition,0,0,1,1
1541188492860110044,5622,0,/fsr_data_acquisition,0,0,1,1
1541188492866851091,5623,0,/fsr_data_acquisition,1,0,1,1
1541188492868870973,5624,0,/fsr_data_acquisition,0,0,1,1
1541188492873409032,5625,0,/fsr_data_acquisition,0,0,1,1
1541188492880031108,5626,0,/fsr_data_acquisition,0,0,1,1
1541188492886357069,5627,0,/fsr_data_acquisition,0,0,1,1
1541188492896891117,5628,0,/fsr_data_acquisition,0,0,1,1
1541188492898411989,5629,0,/fsr_data_acquisition,0,0,1,1
1541188492902462959,5630,0,/fsr_data_acquisition,0,0,1,1
1541188492905327081,5631,0,/fsr_data_acquisition,0,0,1,1
1541188492915378093,5632,0,/fsr_data_acquisition,0,0,1,1
1541188492921865940,5634,0,/fsr_data_acquisition,0,0,1,1
1541188492929053068,5635,0,/fsr_data_acquisition,0,1,1,1
1541188492930423974,5636,0,/fsr_data_acquisition,0,0,1,1
1541188492933857917,5637,0,/fsr_data_acquisition,0,0,1,1
1541188492944535017,5638,0,/fsr_data_acquisition,0,0,1,1
1541188492952619075,5640,0,/fsr_data_acquisition,0,0,1,1
1541188492955943107,5641,0,/fsr_data_acquisition,0,0,1,1
1541188492961622953,5642,0,/fsr_data_acquisition,0,0,1,1
1541188492965770959,5643,0,/fsr_data_acquisition,0,0,1,1
1541188492968715906,5644,0,/fsr_data_acquisition,0,0,1,1
1541188492976629972,5645,0,/fsr_data_acquisition,0,0,1,1
1541188492983561038,5646,0,/fsr_data_acquisition,0,0,1,1
1541188492986655950,5647,0,/fsr_data_acquisition,0,0,1,1
1541188492994666099,5648,0,/fsr_data_acquisition,0,0,1,1
1541188492995767116,5649,0,/fsr_data_acquisition,0,0,1,1
1541188493001343011,5650,0,/fsr_data_acquisition,0,0,1,1
1541188493006051063,5651,0,/fsr_data_acquisition,0,0,1,1
1541188493014354944,5653,0,/fsr_data_acquisition,0,0,1,1
1541188493021150112,5654,0,/fsr_data_acquisition,0,0,1,1
1541188493027129888,5655,0,/fsr_data_acquisition,0,0,1,1
1541188493028786897,5656,0,/fsr_data_acquisition,0,0,1,1
1541188493033540964,5657,0,/fsr_data_acquisition,0,0,1,1
1541188493045631885,5659,0,/fsr_data_acquisition,0,0,1,1
1541188493050401926,5660,0,/fsr_data_acquisition,0,0,1,1
1541188493055577993,5661,0,/fsr_data_acquisition,0,0,1,1
1541188493058397054,5662,0,/fsr_data_acquisition,0,0,1,1
1541188493065623998,5663,0,/fsr_data_acquisition,0,0,1,1
1541188493071443080,5664,0,/fsr_data_acquisition,0,0,1,1
1541188493076004981,5665,0,/fsr_data_acquisition,0,0,1,1
1541188493079159021,5666,0,/fsr_data_acquisition,0,0,1,1
1541188493084374904,5667,0,/fsr_data_acquisition,0,0,1,1
1541188493089575052,5668,0,/fsr_data_acquisition,0,0,1,1
1541188493093722105,5669,0,/fsr_data_acquisition,0,0,1,1
1541188493098270893,5670,0,/fsr_data_acquisition,0,0,1,1
1541188493107640981,5671,0,/fsr_data_acquisition,0,0,1,1
1541188493111004114,5672,0,/fsr_data_acquisition,0,0,1,1
1541188493116471052,5673,0,/fsr_data_acquisition,0,1,1,1
1541188493120157957,5674,0,/fsr_data_acquisition,0,0,1,1
1541188493125969886,5675,0,/fsr_data_acquisition,0,0,1,1
1541188493128739118,5676,0,/fsr_data_acquisition,0,0,1,1
1541188493135237932,5677,0,/fsr_data_acquisition,0,0,1,1
1541188493140547037,5678,0,/fsr_data_acquisition,0,0,1,1
1541188493145220041,5679,0,/fsr_data_acquisition,0,0,1,1
1541188493151143074,5680,0,/fsr_data_acquisition,1,0,1,1
1541188493154233932,5681,0,/fsr_data_acquisition,0,0,1,1
1541188493161943912,5682,0,/fsr_data_acquisition,0,0,1,1
1541188493168121099,5683,0,/fsr_data_acquisition,0,0,1,1
1541188493171395063,5684,0,/fsr_data_acquisition,0,0,1,1
1541188493174580097,5685,0,/fsr_data_acquisition,0,0,1,1
1541188493181219100,5686,0,/fsr_data_acquisition,0,0,1,1
1541188493184922933,5687,0,/fsr_data_acquisition,0,0,1,1
1541188493188493967,5688,0,/fsr_data_acquisition,0,0,1,1
1541188493195736885,5689,0,/fsr_data_acquisition,0,0,1,1
1541188493200345039,5690,0,/fsr_data_acquisition,0,0,1,1
1541188493203600883,5691,0,/fsr_data_acquisition,0,0,1,1
1541188493210046052,5692,0,/fsr_data_acquisition,0,0,1,1
1541188493214555025,5693,0,/fsr_data_acquisition,0,0,1,1
1541188493218535900,5694,0,/fsr_data_acquisition,0,0,1,1
1541188493224466085,5695,0,/fsr_data_acquisition,0,0,1,1
1541188493230102062,5696,0,/fsr_data_acquisition,0,0,1,1
1541188493234359025,5697,0,/fsr_data_acquisition,0,0,1,1
1541188493239166975,5698,0,/fsr_data_acquisition,0,1,1,1
1541188493245666980,5699,0,/fsr_data_acquisition,0,0,1,1
1541188493248765945,5700,0,/fsr_data_acquisition,0,0,1,1
1541188493253309965,5701,0,/fsr_data_acquisition,0,0,1,1
1541188493268079996,5703,0,/fsr_data_acquisition,0,0,1,1
1541188493270256996,5704,0,/fsr_data_acquisition,0,0,1,1
1541188493277338027,5705,0,/fsr_data_acquisition,0,1,1,1
1541188493279088973,5706,0,/fsr_data_acquisition,0,0,1,1
1541188493283538103,5707,0,/fsr_data_acquisition,0,0,1,1
1541188493290607929,5708,0,/fsr_data_acquisition,0,0,1,1
1541188493295254945,5709,0,/fsr_data_acquisition,0,0,1,1
1541188493300036907,5710,0,/fsr_data_acquisition,0,0,1,1
1541188493307646989,5711,0,/fsr_data_acquisition,0,0,1,1
1541188493309621095,5712,0,/fsr_data_acquisition,0,0,1,1
1541188493313302040,5713,0,/fsr_data_acquisition,0,0,1,1
1541188493320003032,5714,0,/fsr_data_acquisition,0,0,1,1
1541188493326831102,5715,0,/fsr_data_acquisition,0,0,1,1
1541188493329885005,5716,0,/fsr_data_acquisition,0,0,1,1
1541188493336366891,5717,0,/fsr_data_acquisition,0,0,1,1
1541188493339083909,5718,0,/fsr_data_acquisition,0,0,1,1
1541188493343374013,5719,0,/fsr_data_acquisition,0,0,1,1
1541188493349513053,5720,0,/fsr_data_acquisition,0,0,1,1
1541188493354460954,5721,0,/fsr_data_acquisition,0,0,1,1
1541188493359751939,5722,0,/fsr_data_acquisition,0,0,1,1
1541188493366589069,5723,0,/fsr_data_acquisition,0,0,1,1
1541188493371634960,5724,0,/fsr_data_acquisition,0,0,1,1
1541188493373706102,5725,0,/fsr_data_acquisition,0,0,1,1
1541188493384871006,5727,0,/fsr_data_acquisition,0,0,1,1
1541188493389961957,5728,0,/fsr_data_acquisition,0,0,1,1
1541188493395987987,5729,0,/fsr_data_acquisition,0,0,1,1
1541188493402730941,5730,0,/fsr_data_acquisition,1,1,1,1
1541188493403759956,5731,0,/fsr_data_acquisition,0,0,1,1
1541188493410691976,5732,0,/fsr_data_acquisition,0,0,1,1
1541188493418570041,5733,0,/fsr_data_acquisition,0,0,1,1
1541188493419781923,5734,0,/fsr_data_acquisition,0,0,1,1
1541188493427205085,5735,0,/fsr_data_acquisition,0,0,1,1
1541188493429970979,5736,0,/fsr_data_acquisition,0,0,1,1
1541188493433367967,5737,0,/fsr_data_acquisition,0,0,1,1
1541188493440958023,5738,0,/fsr_data_acquisition,0,1,1,1
1541188493445153951,5739,0,/fsr_data_acquisition,0,0,1,1
1541188493449142932,5740,0,/fsr_data_acquisition,0,0,1,1
1541188493458746910,5741,0,/fsr_data_acquisition,0,0,1,1
1541188493460073947,5742,0,/fsr_data_acquisition,0,0,1,1
1541188493463433027,5743,0,/fsr_data_acquisition,0,0,1,1
1541188493470262050,5744,0,/fsr_data_acquisition,0,0,1,1
1541188493476490974,5745,0,/fsr_data_acquisition,0,0,1,1
