%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1543854976157913923,956,0,/fsr_data_acquisition,0,0,0,0
1543854976163706064,957,0,/fsr_data_acquisition,0,0,0,0
1543854976167421102,958,0,/fsr_data_acquisition,0,0,0,0
1543854976171679973,959,0,/fsr_data_acquisition,0,0,0,0
1543854976176618099,960,0,/fsr_data_acquisition,0,0,0,0
1543854976182279109,961,0,/fsr_data_acquisition,0,0,0,0
1543854976189476013,962,0,/fsr_data_acquisition,0,0,0,0
1543854976192403078,963,0,/fsr_data_acquisition,0,0,0,0
1543854976196793079,964,0,/fsr_data_acquisition,0,0,0,0
1543854976203726053,965,0,/fsr_data_acquisition,0,0,0,0
1543854976209508895,966,0,/fsr_data_acquisition,0,0,0,0
1543854976214524030,967,0,/fsr_data_acquisition,0,0,0,0
1543854976216763973,968,0,/fsr_data_acquisition,0,0,0,0
1543854976223272085,969,0,/fsr_data_acquisition,0,0,0,0
1543854976227615118,970,0,/fsr_data_acquisition,0,0,0,0
1543854976236975908,971,0,/fsr_data_acquisition,0,0,0,0
1543854976237756013,972,0,/fsr_data_acquisition,0,0,0,0
1543854976242208957,973,0,/fsr_data_acquisition,0,0,0,0
1543854976247256994,974,0,/fsr_data_acquisition,0,0,0,0
1543854976252415895,975,0,/fsr_data_acquisition,0,0,0,0
1543854976257160902,976,0,/fsr_data_acquisition,0,0,0,1
1543854976264501094,977,0,/fsr_data_acquisition,0,0,0,1
1543854976270422935,978,0,/fsr_data_acquisition,0,0,0,1
1543854976272010087,979,0,/fsr_data_acquisition,0,0,0,1
1543854976277717113,980,0,/fsr_data_acquisition,0,0,0,1
1543854976283005952,981,0,/fsr_data_acquisition,0,0,0,1
1543854976287252902,982,0,/fsr_data_acquisition,0,0,0,1
1543854976291903018,983,0,/fsr_data_acquisition,0,0,1,1
1543854976304220914,985,0,/fsr_data_acquisition,0,0,1,1
1543854976307660102,986,0,/fsr_data_acquisition,0,0,1,1
1543854976313956975,987,0,/fsr_data_acquisition,0,0,1,1
1543854976317717075,988,0,/fsr_data_acquisition,0,0,1,1
1543854976321938037,989,0,/fsr_data_acquisition,0,0,1,1
1543854976339843988,990,0,/fsr_data_acquisition,0,0,1,1
1543854976351768970,991,0,/fsr_data_acquisition,0,0,1,1
1543854976352561950,992,0,/fsr_data_acquisition,0,0,1,1
1543854976360879898,993,0,/fsr_data_acquisition,0,0,1,1
1543854976363679885,994,0,/fsr_data_acquisition,0,0,1,1
1543854976368835926,995,0,/fsr_data_acquisition,1,0,1,1
1543854976374723911,996,0,/fsr_data_acquisition,1,0,1,1
1543854976378249883,997,0,/fsr_data_acquisition,1,0,1,1
1543854976382778882,998,0,/fsr_data_acquisition,1,0,1,1
1543854976390382051,999,0,/fsr_data_acquisition,1,0,1,1
1543854976395246982,1000,0,/fsr_data_acquisition,1,0,1,1
1543854976398263931,1001,0,/fsr_data_acquisition,1,0,1,1
1543854976406348943,1002,0,/fsr_data_acquisition,1,0,1,1
1543854976408111095,1003,0,/fsr_data_acquisition,1,0,1,1
1543854976413762092,1004,0,/fsr_data_acquisition,1,0,1,1
