%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.quat_x,field.quat_y,field.quat_z,field.quat_w,field.gyro_x,field.gyro_y,field.gyro_z,field.accel_x,field.accel_y,field.accel_z
1542214796977446079,155,0,/imu_data_acquisition2,49224.0,0.132019042969,0.121215820312,0.712158203125,0.678771972656,4.9375,3.3125,0.125,-0.07,3.08,9.53
1542214796987797021,156,0,/imu_data_acquisition2,49234.0,0.131958007812,0.121704101562,0.712158203125,0.6787109375,4.75,3.1875,0.0,-0.03,3.48,9.58
1542214796993385076,157,0,/imu_data_acquisition2,49241.0,0.131591796875,0.122192382812,0.712158203125,0.678649902344,4.0625,3.625,0.4375,-0.36,3.44,9.71
1542214797002629995,158,0,/imu_data_acquisition2,49250.0,0.131408691406,0.122741699219,0.712097167969,0.678649902344,4.3125,3.25,0.4375,-0.05,3.41,9.47
1542214797012850046,159,0,/imu_data_acquisition2,49260.0,0.131225585938,0.123046875,0.712097167969,0.678588867188,3.875,2.625,0.5625,0.05,3.11,9.75
1542214797022614955,160,0,/imu_data_acquisition2,49270.0,0.130920410156,0.123413085938,0.712097167969,0.678588867188,3.875,2.9375,0.375,-0.17,3.31,9.51
1542214797034348964,161,0,/imu_data_acquisition2,49282.0,0.130920410156,0.123840332031,0.712097167969,0.678527832031,4.4375,2.5,0.3125,0.09,3.44,9.36
1542214797044790029,162,0,/imu_data_acquisition2,49292.0,0.130920410156,0.124267578125,0.712097167969,0.678466796875,4.375,2.375,0.3125,0.01,3.41,9.17
1542214797052761077,163,0,/imu_data_acquisition2,49300.0,0.130859375,0.124755859375,0.712097167969,0.678405761719,5.0,3.375,-0.0625,-0.02,3.36,9.55
1542214797062791109,164,0,/imu_data_acquisition2,49310.0,0.130737304688,0.125244140625,0.712036132812,0.678405761719,5.375,3.375,-0.1875,-0.2,3.27,9.72
1542214797072559118,165,0,/imu_data_acquisition2,49320.0,0.130798339844,0.125793457031,0.712036132812,0.678283691406,6.5,2.875,-0.3125,0.23,3.38,9.32
1542214797083420991,166,0,/imu_data_acquisition2,49331.0,0.130676269531,0.126281738281,0.712036132812,0.67822265625,6.0625,3.5625,-0.375,-0.25,3.09,9.37
1542214797093199014,167,0,/imu_data_acquisition2,49341.0,0.130615234375,0.126892089844,0.711975097656,0.67822265625,7.375,3.125,-0.625,-0.1,3.3,9.4
1542214797103523015,168,0,/imu_data_acquisition2,49350.0,0.130676269531,0.12744140625,0.7119140625,0.678161621094,7.3125,2.6875,-0.0625,-0.03,3.46,9.37
1542214797114111900,169,0,/imu_data_acquisition2,49361.0,0.130493164062,0.127990722656,0.7119140625,0.678100585938,7.5,3.4375,-0.375,-0.2,2.99,9.62
1542214797125502109,170,0,/imu_data_acquisition2,49371.0,0.130676269531,0.128601074219,0.711791992188,0.678039550781,9.375,3.3125,-0.75,0.37,3.26,9.38
1542214797136533975,171,0,/imu_data_acquisition2,49384.0,0.130615234375,0.129272460938,0.711730957031,0.677978515625,8.75,3.9375,-0.6875,-0.38,3.23,9.23
1542214797147664070,172,0,/imu_data_acquisition2,49395.0,0.130737304688,0.130187988281,0.711608886719,0.677917480469,9.3125,5.25,-1.75,0.08,3.86,9.45
1542214797153019905,173,0,/imu_data_acquisition2,49401.0,0.130859375,0.131042480469,0.71142578125,0.677917480469,8.25,6.0625,-1.75,0.08,3.86,9.45
1542214797165460109,174,0,/imu_data_acquisition2,49413.0,0.130737304688,0.131958007812,0.711303710938,0.677856445312,6.75,7.5625,-2.5,-0.27,3.88,9.11
1542214797174432039,175,0,/imu_data_acquisition2,49421.0,0.130493164062,0.132873535156,0.711181640625,0.677856445312,6.125,9.625,-2.9375,-0.24,3.74,9.23
1542214797187630891,176,0,/imu_data_acquisition2,49434.0,0.130126953125,0.133911132812,0.711059570312,0.677856445312,6.0,11.0,-2.9375,0.19,3.51,9.37
1542214797195099115,177,0,/imu_data_acquisition2,49442.0,0.129638671875,0.135009765625,0.710998535156,0.677856445312,5.125,12.625,-2.875,-0.13,3.29,9.67
1542214797204315900,178,0,/imu_data_acquisition2,49452.0,0.129150390625,0.13623046875,0.710876464844,0.677856445312,6.375,14.0,-3.625,0.04,3.02,9.34
1542214797214987039,179,0,/imu_data_acquisition2,49462.0,0.128479003906,0.137817382812,0.710632324219,0.677917480469,8.375,17.8125,-6.0,-1.01,2.51,8.65
1542214797225234985,180,0,/imu_data_acquisition2,49471.0,0.127258300781,0.139770507812,0.710327148438,0.677978515625,7.3125,25.1875,-8.0625,0.92,2.52,9.49
1542214797237699985,181,0,/imu_data_acquisition2,49485.0,0.125854492188,0.142150878906,0.710021972656,0.678100585938,9.1875,30.4375,-9.5,0.62,3.59,11.53
1542214797248831033,182,0,/imu_data_acquisition2,49495.0,0.124450683594,0.144836425781,0.709533691406,0.678283691406,11.6875,32.5,-11.1875,-0.05,3.76,10.25
1542214797253815889,183,0,/imu_data_acquisition2,49501.0,0.122619628906,0.148010253906,0.709045410156,0.678466796875,12.0,39.5625,-13.625,-0.29,2.57,8.98
1542214797264271020,184,0,/imu_data_acquisition2,49511.0,0.120178222656,0.151916503906,0.70849609375,0.678588867188,14.3125,51.0,-15.0625,0.18,3.49,8.27
1542214797274210929,185,0,/imu_data_acquisition2,49522.0,0.117004394531,0.15673828125,0.7080078125,0.678588867188,16.125,64.375,-16.375,0.2,2.17,8.18
1542214797288638114,186,0,/imu_data_acquisition2,49535.0,0.113159179688,0.16259765625,0.707580566406,0.678283691406,19.3125,79.25,-16.25,1.01,3.86,7.4
1542214797293035030,187,0,/imu_data_acquisition2,49541.0,0.108459472656,0.169067382812,0.707336425781,0.677734375,17.0625,92.3125,-14.9375,-0.55,4.41,10.71
1542214797304645061,188,0,/imu_data_acquisition2,49552.0,0.103332519531,0.175842285156,0.70703125,0.677124023438,17.625,97.9375,-16.5,0.11,5.02,10.31
1542214797314872980,189,0,/imu_data_acquisition2,49562.0,0.0977783203125,0.182434082031,0.706604003906,0.676696777344,11.5625,99.5,-19.5625,-0.55,4.37,10.37
1542214797323082923,190,0,/imu_data_acquisition2,49571.0,0.0914916992188,0.189086914062,0.70556640625,0.676818847656,7.375,104.625,-30.375,-0.09,1.32,10.83
1542214797338372945,191,0,/imu_data_acquisition2,49585.0,0.0842895507812,0.196166992188,0.703979492188,0.677368164062,4.625,113.875,-40.75,-0.48,3.02,10.97
1542214797348908901,192,0,/imu_data_acquisition2,49595.0,0.0772094726562,0.205139160156,0.701538085938,0.678100585938,23.25,126.875,-51.5,0.42,4.21,10.53
1542214797354927062,193,0,/imu_data_acquisition2,49602.0,0.0697021484375,0.216735839844,0.697875976562,0.679077148438,43.5,149.375,-66.125,0.21,6.16,10.32
1542214797363682985,194,0,/imu_data_acquisition2,49611.0,0.0599365234375,0.230529785156,0.693969726562,0.679443359375,45.1875,187.9375,-70.9375,0.32,1.02,12.01
1542214797374644994,195,0,/imu_data_acquisition2,49622.0,0.0482177734375,0.247619628906,0.689514160156,0.678894042969,58.6875,232.0625,-75.875,1.54,-0.01,-0.01
1542214797388617038,196,0,/imu_data_acquisition2,49634.0,0.0343627929688,0.267639160156,0.684020996094,0.677734375,68.375,274.25,-86.0,0.12,1.26,11.07
1542214797395725965,197,0,/imu_data_acquisition2,49641.0,0.0205688476562,0.291687011719,0.675231933594,0.677185058594,112.3125,303.0,-119.75,-1.18,2.62,15.12
1542214797404807090,198,0,/imu_data_acquisition2,49652.0,0.0064697265625,0.322448730469,0.660888671875,0.677673339844,183.25,354.3125,-175.25,0.76,7.91,-0.01
1542214797414808988,199,0,/imu_data_acquisition2,49662.0,-0.00836181640625,0.355895996094,0.642517089844,0.678527832031,212.4375,379.5625,-213.625,-3.72,7.71,24.01
1542214797423441886,200,0,/imu_data_acquisition2,49671.0,-0.020263671875,0.389221191406,0.620971679688,0.680114746094,249.0625,354.0625,-232.1875,1.31,8.45,12.68
1542214797435391902,201,0,/imu_data_acquisition2,49683.0,-0.0315551757812,0.416137695312,0.599487304688,0.682983398438,206.9375,292.1875,-239.4375,-4.77,9.48,16.28
1542214797449593067,202,0,/imu_data_acquisition2,49696.0,-0.0410766601562,0.433898925781,0.580627441406,0.687683105469,143.6875,195.125,-227.0,1.0,15.07,17.11
1542214797457644939,203,0,/imu_data_acquisition2,49702.0,-0.0494384765625,0.440979003906,0.565795898438,0.694946289062,60.3125,84.6875,-209.625,-10.26,18.82,39.99
1542214797463129997,204,0,/imu_data_acquisition2,49711.0,-0.0588989257812,0.435302734375,0.560180664062,0.702331542969,-82.5625,-18.25,-148.5,8.92,1.56,19.19
1542214797474216938,205,0,/imu_data_acquisition2,49722.0,-0.007080078125,-6.103515625e-05,-6.103515625e-05,0.709716796875,-147.6875,-59.3125,-128.1875,11.03,-0.76,11.1
1542214797489001035,206,0,/imu_data_acquisition2,49735.0,-0.0796508789062,0.412231445312,0.554260253906,0.718688964844,-135.5625,-74.375,-152.4375,5.76,3.31,8.8
