%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.quat_x,field.quat_y,field.quat_z,field.quat_w,field.gyro_x,field.gyro_y,field.gyro_z,field.accel_x,field.accel_y,field.accel_z
1543854976168874025,835,0,/imu_data_acquisition2,29780.0,0.0497436523438,0.0997314453125,0.705139160156,0.700256347656,104.0625,-65.125,-192.625,-13.58,-13.08,-2.19
1543854976177920103,836,0,/imu_data_acquisition2,29789.0,0.0556640625,0.103942871094,0.691711425781,0.712463378906,92.5,-36.6875,-209.3125,-13.69,-12.94,-2.18
1543854976190933942,837,0,/imu_data_acquisition2,29802.0,0.0587768554688,-6.103515625e-05,-6.103515625e-05,0.725036621094,76.625,-8.125,-221.75,-14.18,-8.83,2.85
1543854976201220989,838,0,/imu_data_acquisition2,29812.0,0.0592651367188,0.114318847656,0.663146972656,0.737365722656,57.4375,16.125,-225.5625,-14.34,-6.61,5.27
1543854976212398052,839,0,/imu_data_acquisition2,29823.0,0.0574951171875,0.119323730469,0.649230957031,0.748962402344,34.5,32.0625,-218.625,-14.24,-4.02,7.32
1543854976218303918,840,0,/imu_data_acquisition2,29829.0,0.053955078125,0.123107910156,-6.103515625e-05,0.759460449219,7.9375,37.5,-200.6875,-14.24,-4.02,7.32
1543854976229722023,841,0,/imu_data_acquisition2,29840.0,0.0486450195312,0.124877929688,0.625854492188,0.768371582031,-24.375,35.75,-172.3125,-14.63,1.15,11.78
1543854976238549947,842,0,/imu_data_acquisition2,29850.0,0.0419311523438,0.123779296875,0.617858886719,0.775329589844,-61.1875,25.125,-133.6875,-14.48,3.06,12.74
1543854976253458023,843,0,/imu_data_acquisition2,29863.0,0.0342407226562,0.119445800781,0.613342285156,0.779968261719,-98.25,7.375,-0.0625,-19.23,28.48,-0.01
1543854976263535022,844,0,/imu_data_acquisition2,29873.0,0.021484375,0.104309082031,0.617126464844,0.779663085938,-232.6875,-44.9375,25.25,-26.53,40.08,10.83
1543854976270802974,845,0,/imu_data_acquisition2,29881.0,0.0156860351562,0.0839233398438,0.634094238281,0.768493652344,-220.875,-127.875,236.5625,-26.53,40.08,10.83
1543854976284888029,846,0,/imu_data_acquisition2,29893.0,0.0326538085938,0.076416015625,0.658508300781,0.747985839844,78.125,-171.125,394.3125,22.8,-23.7,16.25
1543854976294043064,847,0,/imu_data_acquisition2,29903.0,0.0482788085938,0.0902099609375,0.669982910156,0.735290527344,51.125,54.75,-32.75,-18.64,36.94,-12.76
1543854976303139925,848,0,/imu_data_acquisition2,29913.0,0.0481567382812,0.0966796875,0.667785644531,0.736511230469,51.125,54.75,-32.75,5.05,-24.2,20.46
1543854976314444065,849,0,/imu_data_acquisition2,29924.0,0.0303955078125,0.0810546875,0.666748046875,0.740234375,-279.0625,-0.8125,-49.8125,-11.12,-22.48,32.73
1543854976320545911,850,0,/imu_data_acquisition2,29932.0,0.0167236328125,0.0653686523438,0.663818359375,0.744873046875,-242.0,-34.875,-69.6875,-11.12,-22.48,32.73
1543854976334247112,851,0,/imu_data_acquisition2,29944.0,0.0140991210938,0.0604248046875,0.661560058594,0.747314453125,-41.5,7.25,-9.6875,-4.61,3.05,13.24
1543854976341671943,852,0,/imu_data_acquisition2,29950.0,0.0110473632812,0.0585327148438,0.661193847656,0.747863769531,-41.5,7.25,-9.6875,-4.61,3.05,13.24
1543854976353212118,853,0,/imu_data_acquisition2,29963.0,0.0081787109375,0.056640625,0.660766601562,0.748413085938,-40.0625,5.25,-9.9375,-2.92,3.63,12.4
1543854976371078014,855,0,/imu_data_acquisition2,29982.0,0.00177001953125,0.0498657226562,0.658996582031,0.75048828125,-57.125,-8.875,-22.0,-1.43,-1.64,12.14
1543854976379319906,856,0,/imu_data_acquisition2,29990.0,-0.00054931640625,0.046630859375,0.657958984375,0.751586914062,-45.0,-11.5,-19.1875,0.38,-3.82,8.1
1543854976393439054,857,0,/imu_data_acquisition2,30004.0,-0.00164794921875,0.0450439453125,0.657470703125,0.752136230469,-21.875,-5.6875,-9.375,0.1,-0.83,10.08
1543854976402403116,858,0,/imu_data_acquisition2,30013.0,-0.00164794921875,0.0450439453125,0.657592773438,0.752075195312,0.1875,0.25,1.75,0.1,-0.83,10.08
1543854976412348031,859,0,/imu_data_acquisition2,30023.0,-0.0013427734375,0.0459594726562,0.657958984375,0.751647949219,9.9375,6.0,6.9375,-1.97,1.33,11.01
1543854976418987035,860,0,/imu_data_acquisition2,30030.0,-0.0009765625,0.047119140625,0.658447265625,0.751098632812,11.75,7.6875,8.625,-1.97,1.33,11.01
1543854976430432081,861,0,/imu_data_acquisition2,30040.0,-0.00054931640625,0.0480346679688,0.658874511719,0.750732421875,10.5,5.3125,7.1875,-0.49,1.62,10.39
1543854976440064907,862,0,/imu_data_acquisition2,30051.0,-0.00030517578125,0.048583984375,0.6591796875,0.750427246094,6.6875,3.0,4.6875,-0.8,0.85,9.97
1543854976465786933,864,0,/imu_data_acquisition2,30077.0,6.103515625e-05,0.0491333007812,0.659606933594,0.75,0.875,1.5,2.4375,-1.14,1.34,10.53
1543854976469393968,865,0,/imu_data_acquisition2,30080.0,6.103515625e-05,0.0492553710938,0.659729003906,0.749877929688,0.875,1.5,2.4375,-1.14,1.34,10.53
1543854976494146108,867,0,/imu_data_acquisition2,30105.0,-0.00018310546875,0.0489501953125,0.659851074219,0.749816894531,-2.9375,-1.5,-0.125,-1.1,0.89,9.43
