%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.quat_x,field.quat_y,field.quat_z,field.quat_w,field.gyro_x,field.gyro_y,field.gyro_z,field.accel_x,field.accel_y,field.accel_z
1455211612571368932,1584,0,/imu_data_acquisition2,166716.0,-0.002685546875,-0.0227661132812,0.841247558594,0.540161132812,4.1875,3.25,1.5625,-0.01,-0.71,9.9
1455211612574943065,1585,0,/imu_data_acquisition2,166726.0,-6.103515625e-05,-6.103515625e-05,-6.103515625e-05,0.5400390625,4.6875,3.6875,1.875,0.04,-0.63,10.12
1455211612581013917,1586,0,/imu_data_acquisition2,166733.0,-0.00274658203125,-0.021728515625,0.841430664062,0.539916992188,5.125,3.8125,1.9375,0.04,-0.01,-0.01
1455211612591180086,1587,0,/imu_data_acquisition2,166743.0,-0.0028076171875,-0.021240234375,0.841552734375,0.539733886719,4.75,3.8125,2.0,0.06,-0.68,10.01
1455211612601839065,1588,0,/imu_data_acquisition2,166754.0,-0.00286865234375,-0.0206909179688,0.841674804688,0.539611816406,4.6875,3.5625,2.0,0.15,-0.66,-0.01
1455211612616885900,1589,0,/imu_data_acquisition2,166768.0,-0.0029296875,-0.0202026367188,0.841735839844,0.539489746094,4.3125,3.4375,1.875,-0.09,-0.69,10.17
1455211612624706983,1590,0,/imu_data_acquisition2,166777.0,-0.00311279296875,-0.0198364257812,0.841857910156,0.539367675781,4.3125,3.4375,1.875,0.0,-0.54,10.32
1455211612634468078,1591,0,/imu_data_acquisition2,166785.0,-0.003173828125,-0.0194091796875,0.841918945312,0.539245605469,4.3125,3.1875,2.0,0.0,-0.54,10.32
1455211612641437053,1592,0,/imu_data_acquisition2,166793.0,-0.0032958984375,-0.01904296875,0.841979980469,0.539123535156,3.9375,2.875,1.5625,0.21,-0.59,9.97
1455211612653301000,1593,0,/imu_data_acquisition2,166805.0,-0.00335693359375,-0.0187377929688,0.842102050781,0.539001464844,3.5625,2.375,1.75,0.02,-0.01,-0.01
1455211612665756940,1594,0,/imu_data_acquisition2,166816.0,-0.00341796875,-0.0185546875,0.842163085938,0.538879394531,2.8125,1.8125,1.375,0.08,-0.59,10.06
1455211612675991058,1595,0,/imu_data_acquisition2,166828.0,-0.00347900390625,-0.0183715820312,0.842224121094,0.538818359375,2.3125,1.8125,1.375,0.07,-0.51,10.23
1455211612685434103,1596,0,/imu_data_acquisition2,166836.0,-0.00347900390625,-0.0182495117188,0.84228515625,0.538757324219,1.5625,1.0625,1.0,0.07,-0.51,10.23
1455211612694087028,1597,0,/imu_data_acquisition2,166846.0,-0.00360107421875,-0.0181884765625,0.84228515625,0.538696289062,1.0,0.9375,0.6875,0.0,-0.53,10.23
1455211612706528902,1598,0,/imu_data_acquisition2,166857.0,-6.103515625e-05,-6.103515625e-05,-6.103515625e-05,0.538696289062,0.4375,0.75,0.375,0.31,-0.59,9.94
1455211612717197895,1599,0,/imu_data_acquisition2,166867.0,-0.0037841796875,-0.0181884765625,0.84228515625,0.538696289062,-0.125,0.625,0.125,0.09,-0.58,10.23
1455211612724497079,1600,0,/imu_data_acquisition2,166877.0,-0.00384521484375,-0.018310546875,0.84228515625,0.538696289062,-0.6875,0.25,0.25,0.2,-0.53,10.34
1455211612738305091,1601,0,/imu_data_acquisition2,166884.0,-0.00390625,-0.0184326171875,0.84228515625,0.538696289062,-0.6875,0.0625,0.1875,0.2,-0.53,10.34
1455211612747400999,1602,0,/imu_data_acquisition2,166898.0,-0.00396728515625,-0.0186157226562,0.84228515625,0.538696289062,-1.0,0.4375,-0.0625,-0.11,-0.58,10.32
