%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1542211256631128072,7262,0,/fsr_data_acquisition,0,0,1,0
1542211256632909059,7263,0,/fsr_data_acquisition,0,0,1,0
1542211256635494947,7264,0,/fsr_data_acquisition,0,0,1,0
1542211256640484094,7265,0,/fsr_data_acquisition,0,0,1,0
1542211256645392894,7266,0,/fsr_data_acquisition,0,0,1,0
1542211256654499053,7267,0,/fsr_data_acquisition,0,0,1,0
1542211256658863067,7268,0,/fsr_data_acquisition,0,0,1,0
1542211256660868883,7269,0,/fsr_data_acquisition,0,0,1,0
1542211256667931079,7270,0,/fsr_data_acquisition,0,0,1,0
1542211256671045064,7271,0,/fsr_data_acquisition,0,0,1,0
1542211256678699016,7272,0,/fsr_data_acquisition,0,0,1,0
1542211256682949066,7273,0,/fsr_data_acquisition,0,0,1,0
1542211256686821937,7274,0,/fsr_data_acquisition,0,0,1,0
1542211256690125942,7275,0,/fsr_data_acquisition,0,0,1,0
1542211256702611923,7276,0,/fsr_data_acquisition,0,0,1,0
1542211256703073978,7277,0,/fsr_data_acquisition,0,0,1,0
1542211256705374956,7278,0,/fsr_data_acquisition,0,0,1,0
1542211256711214065,7279,0,/fsr_data_acquisition,0,0,1,0
1542211256717138051,7280,0,/fsr_data_acquisition,0,0,1,0
1542211256720907926,7281,0,/fsr_data_acquisition,0,0,1,0
1542211256727319955,7282,0,/fsr_data_acquisition,0,0,1,0
1542211256732263088,7283,0,/fsr_data_acquisition,0,0,1,0
1542211256736447095,7284,0,/fsr_data_acquisition,0,0,1,0
1542211256740988016,7285,0,/fsr_data_acquisition,0,0,1,0
1542211256749191999,7286,0,/fsr_data_acquisition,0,0,1,0
1542211256750905990,7287,0,/fsr_data_acquisition,0,0,1,0
1542211256756324052,7288,0,/fsr_data_acquisition,0,0,1,0
1542211256762113094,7289,0,/fsr_data_acquisition,0,0,1,0
1542211256766149044,7290,0,/fsr_data_acquisition,0,0,1,0
1542211256771939992,7291,0,/fsr_data_acquisition,0,0,1,0
1542211256777672052,7292,0,/fsr_data_acquisition,0,0,1,0
1542211256782407999,7293,0,/fsr_data_acquisition,0,0,1,0
1542211256786206007,7294,0,/fsr_data_acquisition,0,0,1,0
