%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.quat_x,field.quat_y,field.quat_z,field.quat_w,field.gyro_x,field.gyro_y,field.gyro_z,field.accel_x,field.accel_y,field.accel_z
1455211769925679922,1,0,/imu_data_acquisition2,44727.0,-0.032470703125,-0.0279541015625,0.93505859375,0.351928710938,25.5,9.5625,0.625,-1.23,-0.01,-0.01
1455211769928087949,2,0,/imu_data_acquisition2,44730.0,-0.0324096679688,-0.0264892578125,0.935119628906,0.351867675781,16.9375,4.875,1.6875,-1.23,-0.46,11.7
1455211769937099933,3,0,/imu_data_acquisition2,44740.0,-0.0322875976562,-0.0256958007812,0.935180664062,0.351684570312,8.75,1.75,2.125,-0.8,-1.45,10.95
1455211769948237895,4,0,/imu_data_acquisition2,44751.0,-0.0321655273438,-0.0250854492188,0.935302734375,0.351501464844,7.3125,1.6875,2.6875,-0.71,-0.92,10.37
1455211769957547903,5,0,/imu_data_acquisition2,44760.0,-0.0322265625,-0.0245971679688,0.935424804688,0.351257324219,5.0,2.625,3.1875,-1.2,-0.45,10.3
1455211769972851037,6,0,/imu_data_acquisition2,44776.0,-0.0322875976562,-0.0244140625,0.935485839844,0.35107421875,1.875,0.9375,2.5625,-0.62,-0.44,10.6
1455211769981348037,7,0,/imu_data_acquisition2,44782.0,-0.0324096679688,-0.0244750976562,0.935546875,0.350891113281,-1.1875,1.0625,1.9375,-0.85,-0.31,9.95
1455211769988616943,8,0,/imu_data_acquisition2,44791.0,-0.0325927734375,-0.0247192382812,0.935546875,0.350830078125,-3.6875,0.6875,1.0625,-1.01,-0.95,10.88
1455211770001228094,9,0,/imu_data_acquisition2,44801.0,-0.0326538085938,-0.0250244140625,0.935546875,0.350830078125,-3.5,-0.1875,0.0,-0.94,-0.01,-0.01
1455211770008238077,10,0,/imu_data_acquisition2,44811.0,-0.0327758789062,-0.0252075195312,0.935546875,0.350830078125,-2.625,-0.4375,-0.4375,-0.8,-0.01,-0.01
1455211770021277904,11,0,/imu_data_acquisition2,44822.0,-0.0327758789062,-0.0253295898438,0.935546875,0.350830078125,-1.3125,0.0,-0.375,-0.88,-0.01,-0.01
1455211770029732942,12,0,/imu_data_acquisition2,44831.0,-0.0327758789062,-0.0253295898438,0.935546875,0.350830078125,-0.5625,0.1875,-0.375,-0.77,-1.59,9.84
1455211770038765907,13,0,/imu_data_acquisition2,44841.0,-0.0327758789062,-0.0252685546875,0.935546875,0.350830078125,1.1875,0.3125,-0.5625,-0.82,-1.14,9.54
1455211770054651975,14,0,/imu_data_acquisition2,44852.0,-6.103515625e-05,-6.103515625e-05,-6.103515625e-05,0.350830078125,2.125,0.5625,0.0,-0.65,-1.31,10.07
1455211770060983896,15,0,/imu_data_acquisition2,44861.0,-0.03271484375,-0.0247802734375,0.935546875,0.350769042969,2.9375,1.3125,0.875,-1.06,-1.09,9.29
1455211770071341991,16,0,/imu_data_acquisition2,44874.0,-0.03271484375,-0.0244750976562,0.935607910156,0.350646972656,3.25,1.0,1.25,-0.93,-0.89,9.49
1455211770080895900,17,0,/imu_data_acquisition2,44881.0,-0.0327758789062,-0.024169921875,0.935668945312,0.350524902344,3.25,1.875,1.9375,-0.8,-1.23,9.84
1455211770088521957,18,0,/imu_data_acquisition2,44891.0,-0.0328369140625,-0.0238647460938,0.935729980469,0.350341796875,3.375,1.875,2.5,-0.94,-1.21,10.01
1455211770101336002,19,0,/imu_data_acquisition2,44901.0,-0.033447265625,-0.023681640625,0.935852050781,0.35009765625,3.125,2.8125,3.25,-0.98,-0.99,9.89
1455211770108079910,20,0,/imu_data_acquisition2,44910.0,-0.033935546875,-0.0234985351562,0.935913085938,0.349792480469,2.8125,2.3125,3.25,-0.88,-0.01,-0.01
1455211770120839118,21,0,/imu_data_acquisition2,44922.0,-0.0341186523438,-0.0232543945312,0.935974121094,0.349609375,2.1875,2.625,3.1875,-0.83,-0.73,9.49
1455211770131731033,22,0,/imu_data_acquisition2,44932.0,-0.0343627929688,-0.0230102539062,0.936096191406,0.349365234375,1.625,3.3125,3.1875,-1.04,-0.91,9.8
1455211770137948989,23,0,/imu_data_acquisition2,44940.0,-0.0346069335938,-0.0227661132812,0.936157226562,0.34912109375,1.1875,4.0,3.0625,-1.07,-0.84,10.13
1455211770150192022,24,0,/imu_data_acquisition2,44950.0,-0.0349731445312,-0.0069580078125,-6.103515625e-05,0.348937988281,0.625,4.3125,2.5625,-1.05,-0.73,10.02
1455211770162041902,25,0,/imu_data_acquisition2,44962.0,-0.0357666015625,-0.0225219726562,0.936279296875,0.348754882812,0.0625,4.0625,2.125,-0.93,-1.07,9.54
1455211770168503046,26,0,/imu_data_acquisition2,44971.0,-0.0368041992188,-0.0224609375,0.936279296875,0.348510742188,0.0625,5.125,2.3125,-1.2,-1.08,9.83
1455211770181189060,27,0,/imu_data_acquisition2,44982.0,-0.0377197265625,-0.0223999023438,0.936340332031,0.348327636719,0.5625,5.4375,2.5,-0.9,-0.88,9.7
1455211770191193103,28,0,/imu_data_acquisition2,44992.0,-0.0386962890625,-0.022216796875,0.936401367188,0.34814453125,0.6875,6.0625,2.5625,-1.14,-0.84,9.68
1455211770198013067,29,0,/imu_data_acquisition2,45000.0,-0.0397338867188,-0.0220336914062,0.936401367188,0.347900390625,1.0,6.6875,2.6875,-1.12,-1.14,9.69
1455211770209997892,30,0,/imu_data_acquisition2,45012.0,-0.0406494140625,-0.0217895507812,0.936462402344,0.347717285156,1.9375,7.0,2.6875,-0.94,-0.97,9.61
1455211770221882104,31,0,/imu_data_acquisition2,45022.0,-0.0416870117188,-0.0214233398438,0.9365234375,0.347473144531,2.125,8.6875,3.0,-1.08,-0.89,9.67
1455211770228243112,32,0,/imu_data_acquisition2,45031.0,-0.0427856445312,-0.0210571289062,0.936584472656,0.347290039062,2.25,9.375,2.9375,-1.15,-0.91,9.63
1455211770240662097,33,0,/imu_data_acquisition2,45042.0,-0.0438842773438,-0.0206909179688,0.936584472656,0.347045898438,2.25,9.6875,2.8125,-1.11,-1.14,10.24
1455211770252115964,34,0,/imu_data_acquisition2,45052.0,-0.0448608398438,-0.020263671875,0.936645507812,0.346862792969,2.6875,10.5,2.9375,-0.9,-0.01,-0.01
1455211770258028030,35,0,/imu_data_acquisition2,45061.0,-0.0460205078125,-0.0197143554688,0.936645507812,0.346618652344,2.875,12.25,2.875,-1.09,-0.93,9.38
1455211770270035028,36,0,/imu_data_acquisition2,45072.0,-0.0473022460938,-0.0192260742188,0.936706542969,0.346435546875,3.625,13.375,3.125,-0.97,-1.15,9.61
1455211770283468961,37,0,/imu_data_acquisition2,45082.0,-0.0484008789062,-0.0184326171875,0.936767578125,0.346130371094,4.0625,15.25,4.0625,-0.93,-0.81,9.53
1455211770288569927,38,0,/imu_data_acquisition2,45091.0,-0.0496215820312,-0.017578125,0.936828613281,0.345825195312,4.1875,16.9375,4.8125,-1.26,-1.08,9.88
1455211770302443981,39,0,/imu_data_acquisition2,45102.0,-0.05078125,-0.0166625976562,0.936889648438,0.345458984375,5.0,16.6875,4.875,-0.93,-0.94,9.71
1455211770313437938,40,0,/imu_data_acquisition2,45115.0,-0.0523681640625,-0.0158081054688,0.936950683594,0.345092773438,5.25,18.25,5.3125,-1.41,-0.8,9.66
1455211770318455934,41,0,/imu_data_acquisition2,45121.0,-0.0537719726562,-0.0148315429688,0.937072753906,0.3447265625,4.75,19.1875,5.125,-1.44,-0.89,10.29
1455211770330213069,42,0,/imu_data_acquisition2,45132.0,-0.0551147460938,-0.0138549804688,0.937133789062,0.344360351562,4.5625,19.1875,4.9375,-1.57,-0.92,10.42
