%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.quat_x,field.quat_y,field.quat_z,field.quat_w,field.gyro_x,field.gyro_y,field.gyro_z,field.accel_x,field.accel_y,field.accel_z
1542223279827821969,187,0,/imu_data_acquisition2,39653.0,-0.0497436523438,0.0861206054688,0.630249023438,0.77001953125,0.875,62.5625,-13.75,-1.4,-0.11,10.53
1542223279835628032,188,0,/imu_data_acquisition2,39661.0,-0.0531005859375,0.0901489257812,0.629089355469,0.770263671875,5.0,74.1875,-13.8125,-0.28,0.0,-0.01
1542223279847284078,189,0,/imu_data_acquisition2,39671.0,-0.0568237304688,0.09521484375,0.627807617188,0.770446777344,9.875,-0.0625,-0.0625,-0.88,0.33,9.98
1542223279855340003,190,0,/imu_data_acquisition2,39681.0,-0.061279296875,0.101806640625,0.626525878906,0.770263671875,15.375,120.9375,-6.3125,0.06,0.61,9.37
1542223279865236997,191,0,/imu_data_acquisition2,39691.0,-0.0667114257812,0.110473632812,0.625305175781,0.769653320312,17.1875,150.0,-8.6875,1.17,-0.01,8.63
1542223279875344991,192,0,/imu_data_acquisition2,39701.0,-0.0736083984375,0.12109375,0.623718261719,0.768737792969,15.9375,187.875,-17.9375,-1.01,-0.57,8.34
1542223279884021043,193,0,/imu_data_acquisition2,39710.0,-0.0826416015625,0.133972167969,0.62109375,0.767761230469,15.9375,187.875,-17.9375,-1.01,-0.57,8.34
1542223279893974065,194,0,/imu_data_acquisition2,39720.0,-0.0939331054688,0.1494140625,0.617858886719,0.766174316406,14.375,229.1875,-20.75,-0.95,0.14,9.48
1542223279905289888,195,0,/imu_data_acquisition2,39731.0,-0.106750488281,0.167602539062,0.614624023438,0.763366699219,18.6875,307.1875,11.4375,-4.4,2.7,11.58
1542223279915286064,196,0,/imu_data_acquisition2,39741.0,-0.121276855469,0.188415527344,0.612121582031,0.758361816406,7.25,329.75,20.375,-4.35,4.05,11.54
1542223279926218986,197,0,/imu_data_acquisition2,39751.0,-0.137512207031,0.210021972656,0.609680175781,0.751831054688,-12.5625,315.5,-0.0625,-1.86,2.98,13.61
1542223279934551000,198,0,/imu_data_acquisition2,39760.0,-0.154602050781,0.229309082031,0.605712890625,0.74609375,-12.5625,315.5,-4.75,-1.86,2.98,13.61
1542223279944041013,199,0,/imu_data_acquisition2,39770.0,-0.173278808594,0.2470703125,0.600524902344,0.740478515625,-33.1875,315.9375,-24.375,-5.68,1.72,13.42
1542223279957346916,200,0,/imu_data_acquisition2,39781.0,-0.194213867188,0.26513671875,0.593017578125,0.735107421875,-59.4375,379.0,-89.0,-7.8,2.76,15.86
1542223279965630054,201,0,/imu_data_acquisition2,39791.0,-0.21875,0.284057617188,0.582275390625,0.729675292969,-81.75,423.25,-126.8125,-9.14,4.42,16.31
1542223279977607011,202,0,/imu_data_acquisition2,39803.0,-0.247497558594,0.303588867188,0.568176269531,0.723693847656,-105.75,429.75,-156.375,-12.09,3.14,17.43
1542223279986115932,203,0,/imu_data_acquisition2,39810.0,-0.278381347656,0.321228027344,0.551879882812,0.717407226562,-105.75,429.75,-156.375,-12.09,3.14,17.43
1542223279994680881,204,0,/imu_data_acquisition2,39820.0,-0.307739257812,0.335266113281,0.534973144531,0.711853027344,-112.25,388.0,-173.0625,-11.45,1.07,22.79
1542223280006974935,205,0,/imu_data_acquisition2,39832.0,-0.332397460938,0.340942382812,0.51953125,0.70947265625,-131.6875,143.625,-169.125,0.87,-1.59,35.71
1542223280016936063,206,0,/imu_data_acquisition2,39841.0,-6.103515625e-05,-6.103515625e-05,-6.103515625e-05,0.708862304688,-131.6875,143.625,-169.125,4.06,4.72,20.47
1542223280026886940,207,0,/imu_data_acquisition2,39852.0,-0.357849121094,0.338195800781,0.50146484375,0.71142578125,59.8125,-28.1875,-95.0,5.04,6.62,10.26
1542223280033888101,208,0,/imu_data_acquisition2,39860.0,-0.355773925781,0.336120605469,0.494873046875,0.718017578125,59.8125,-28.1875,-95.0,5.04,6.62,10.26
1542223280047019004,209,0,/imu_data_acquisition2,39871.0,-0.352478027344,0.331909179688,0.489379882812,0.725341796875,55.625,-61.0,-93.9375,3.99,7.27,4.75
1542223280057717084,210,0,/imu_data_acquisition2,39882.0,-0.35107421875,0.326171875,0.485107421875,0.7314453125,-14.625,-63.125,-80.4375,3.07,5.53,6.61
1542223280065962076,211,0,/imu_data_acquisition2,39892.0,-0.351623535156,0.319274902344,0.482421875,0.736022949219,-27.5625,-71.0625,-63.0,2.38,3.88,8.51
1542223280077634096,212,0,/imu_data_acquisition2,39903.0,-0.352111816406,0.311828613281,0.481323242188,0.739685058594,-12.625,-88.4375,-41.75,1.51,3.01,11.08
1542223280084707021,213,0,/imu_data_acquisition2,39910.0,-0.350402832031,0.304504394531,0.481689453125,0.743286132812,-12.625,-88.4375,-41.75,1.51,3.01,11.08
1542223280095331907,214,0,/imu_data_acquisition2,39921.0,-0.345336914062,0.297180175781,0.483337402344,0.74755859375,14.1875,-115.875,-22.125,1.51,3.32,11.46
1542223280107743978,215,0,/imu_data_acquisition2,39932.0,-0.337219238281,0.289184570312,0.486328125,0.752380371094,35.5,-146.25,-4.9375,1.47,1.65,10.23
1542223280116427898,216,0,/imu_data_acquisition2,39942.0,-0.326965332031,0.280334472656,0.49072265625,0.757446289062,49.3125,-0.0625,-0.0625,1.02,0.43,10.1
1542223280127314090,217,0,/imu_data_acquisition2,39952.0,-0.315246582031,0.270568847656,0.496215820312,0.762390136719,54.0625,-210.0,28.1875,0.28,-0.45,10.42
1542223280139461040,218,0,/imu_data_acquisition2,39960.0,-0.30224609375,0.260009765625,0.502258300781,0.767272949219,54.0625,-210.0,28.1875,0.28,-0.45,10.42
1542223280147367954,219,0,/imu_data_acquisition2,39971.0,-0.287963867188,0.248657226562,0.508605957031,0.772399902344,60.75,-226.4375,30.625,-0.94,-1.41,11.59
1542223280156465053,220,0,/imu_data_acquisition2,39982.0,-0.272399902344,0.236328125,0.514953613281,0.777709960938,71.3125,-262.9375,25.5,-2.3,-2.89,12.76
1542223280168698072,221,0,/imu_data_acquisition2,39993.0,-0.255676269531,0.22265625,0.521118164062,0.783264160156,71.3125,-262.9375,25.5,-3.45,-3.62,12.76
1542223280178221940,222,0,/imu_data_acquisition2,40003.0,-0.238098144531,0.207641601562,0.526733398438,0.789123535156,79.875,-294.25,5.375,-3.79,-3.01,12.07
1542223280185435056,223,0,/imu_data_acquisition2,40011.0,-0.219482421875,0.191650390625,0.531433105469,0.79541015625,79.875,-294.25,5.375,-3.79,-3.01,12.07
1542223280197501897,224,0,/imu_data_acquisition2,40022.0,-0.199951171875,0.175109863281,0.535034179688,0.801940917969,88.9375,-303.4375,-6.3125,-4.01,-2.26,11.11
