%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1542386892147995948,697,0,/fsr_data_acquisition,0,0,1,1
1542386892152781009,698,0,/fsr_data_acquisition,0,0,1,1
1542386892157614946,699,0,/fsr_data_acquisition,0,0,1,1
1542386892162791013,700,0,/fsr_data_acquisition,0,0,1,1
1542386892167495965,701,0,/fsr_data_acquisition,0,0,1,1
1542386892172616004,702,0,/fsr_data_acquisition,0,0,1,1
1542386892177571058,703,0,/fsr_data_acquisition,0,0,1,1
1542386892182570934,704,0,/fsr_data_acquisition,0,0,1,1
1542386892187550067,705,0,/fsr_data_acquisition,0,0,1,1
1542386892192647933,706,0,/fsr_data_acquisition,0,0,1,1
1542386892197076082,707,0,/fsr_data_acquisition,0,0,1,1
1542386892201771974,708,0,/fsr_data_acquisition,0,0,1,1
1542386892206656932,709,0,/fsr_data_acquisition,0,0,1,1
1542386892211911916,710,0,/fsr_data_acquisition,0,0,1,1
1542386892216584920,711,0,/fsr_data_acquisition,0,0,1,1
1542386892221781969,712,0,/fsr_data_acquisition,0,0,1,1
1542386892227436065,713,0,/fsr_data_acquisition,0,0,1,1
1542386892231744050,714,0,/fsr_data_acquisition,0,0,1,1
1542386892236653089,715,0,/fsr_data_acquisition,0,0,1,1
1542386892242070913,716,0,/fsr_data_acquisition,0,0,1,1
1542386892246807098,717,0,/fsr_data_acquisition,0,0,1,1
1542386892251832962,718,0,/fsr_data_acquisition,0,0,1,1
1542386892256755113,719,0,/fsr_data_acquisition,0,0,1,1
1542386892261812925,720,0,/fsr_data_acquisition,0,0,1,1
1542386892266591072,721,0,/fsr_data_acquisition,0,0,1,1
1542386892271965026,722,0,/fsr_data_acquisition,0,0,1,1
1542386892278486013,723,0,/fsr_data_acquisition,0,0,1,1
1542386892283396005,724,0,/fsr_data_acquisition,0,0,1,1
1542386892287316083,725,0,/fsr_data_acquisition,0,0,1,0
1542386892291968107,726,0,/fsr_data_acquisition,0,0,1,0
1542386892299187898,727,0,/fsr_data_acquisition,0,0,1,0
1542386892303730964,728,0,/fsr_data_acquisition,0,0,1,0
