%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1542225709168003082,968,0,/fsr_data_acquisition,1,1,1,1
1542225709172595977,969,0,/fsr_data_acquisition,1,1,1,1
1542225709177223920,970,0,/fsr_data_acquisition,1,1,1,0
1542225709182667970,971,0,/fsr_data_acquisition,1,1,1,0
1542225709186979055,972,0,/fsr_data_acquisition,1,1,1,0
1542225709191690921,973,0,/fsr_data_acquisition,1,1,1,0
1542225709196386098,974,0,/fsr_data_acquisition,1,1,1,0
1542225709201668977,975,0,/fsr_data_acquisition,1,0,1,0
1542225709206500053,976,0,/fsr_data_acquisition,1,0,1,0
1542225709211869001,977,0,/fsr_data_acquisition,1,0,1,0
1542225709216671943,978,0,/fsr_data_acquisition,1,0,1,0
1542225709221621990,979,0,/fsr_data_acquisition,1,0,1,0
1542225709226855993,980,0,/fsr_data_acquisition,1,0,1,0
1542225709232270002,981,0,/fsr_data_acquisition,1,0,1,0
1542225709236673116,982,0,/fsr_data_acquisition,1,0,1,0
1542225709242038011,983,0,/fsr_data_acquisition,1,0,1,0
1542225709246706962,984,0,/fsr_data_acquisition,1,0,1,0
1542225709251647949,985,0,/fsr_data_acquisition,1,0,1,0
1542225709256577968,986,0,/fsr_data_acquisition,1,0,1,0
1542225709261799097,987,0,/fsr_data_acquisition,1,0,1,0
1542225709266657114,988,0,/fsr_data_acquisition,0,0,1,0
1542225709271611928,989,0,/fsr_data_acquisition,0,0,1,0
1542225709276479005,990,0,/fsr_data_acquisition,0,0,1,0
1542225709281621932,991,0,/fsr_data_acquisition,0,0,1,0
1542225709286484956,992,0,/fsr_data_acquisition,0,0,1,0
1542225709291668891,993,0,/fsr_data_acquisition,0,0,1,0
1542225709304855108,994,0,/fsr_data_acquisition,0,0,1,0
1542225709306391954,995,0,/fsr_data_acquisition,0,0,1,0
1542225709310714960,996,0,/fsr_data_acquisition,0,0,1,0
1542225709312216997,997,0,/fsr_data_acquisition,0,0,1,0
1542225709323391914,999,0,/fsr_data_acquisition,0,0,1,0
1542225709329500913,1000,0,/fsr_data_acquisition,0,0,1,0
1542225709338571071,1002,0,/fsr_data_acquisition,0,0,1,0
1542225709342262029,1003,0,/fsr_data_acquisition,0,0,1,0
1542225709346926927,1004,0,/fsr_data_acquisition,0,0,1,0
1542225709357450962,1005,0,/fsr_data_acquisition,0,0,1,0
1542225709359457015,1006,0,/fsr_data_acquisition,0,0,1,0
1542225709363692045,1007,0,/fsr_data_acquisition,0,0,1,0
1542225709366905927,1008,0,/fsr_data_acquisition,0,0,1,0
1542225709372133016,1009,0,/fsr_data_acquisition,0,0,1,0
1542225709376805067,1010,0,/fsr_data_acquisition,0,0,1,0
1542225709381650924,1011,0,/fsr_data_acquisition,0,0,1,0
1542225709388796091,1012,0,/fsr_data_acquisition,0,0,1,0
1542225709394184112,1013,0,/fsr_data_acquisition,0,0,1,0
1542225709396759033,1014,0,/fsr_data_acquisition,0,0,1,0
1542225709402127981,1015,0,/fsr_data_acquisition,0,0,1,0
1542225709406965970,1016,0,/fsr_data_acquisition,0,0,1,0
1542225709411729097,1017,0,/fsr_data_acquisition,0,0,1,0
1542225709416717052,1018,0,/fsr_data_acquisition,0,0,1,0
1542225709422195911,1019,0,/fsr_data_acquisition,0,0,1,0
1542225709426717996,1020,0,/fsr_data_acquisition,0,0,1,0
1542225709432004928,1021,0,/fsr_data_acquisition,0,0,1,0
1542225709436969041,1022,0,/fsr_data_acquisition,0,0,1,0
1542225709443973064,1023,0,/fsr_data_acquisition,0,0,1,0
1542225709446825981,1024,0,/fsr_data_acquisition,0,0,1,0
1542225709451738119,1025,0,/fsr_data_acquisition,0,0,1,1
1542225709456660985,1026,0,/fsr_data_acquisition,0,0,1,1
1542225709461786985,1027,0,/fsr_data_acquisition,0,0,1,1
1542225709466722011,1028,0,/fsr_data_acquisition,0,0,1,1
1542225709471884012,1029,0,/fsr_data_acquisition,0,0,1,1
1542225709476978063,1030,0,/fsr_data_acquisition,0,0,1,1
1542225709481940031,1031,0,/fsr_data_acquisition,0,0,1,1
1542225709486794948,1032,0,/fsr_data_acquisition,0,0,1,1
1542225709491718053,1033,0,/fsr_data_acquisition,0,0,1,1
1542225709496781110,1034,0,/fsr_data_acquisition,0,0,1,1
1542225709502223968,1035,0,/fsr_data_acquisition,0,0,1,1
1542225709508234024,1036,0,/fsr_data_acquisition,0,0,1,1
1542225709512825012,1037,0,/fsr_data_acquisition,0,0,1,1
1542225709516881942,1038,0,/fsr_data_acquisition,0,0,1,1
1542225709523976087,1039,0,/fsr_data_acquisition,0,0,1,1
1542225709528186082,1040,0,/fsr_data_acquisition,0,0,1,1
1542225709533444881,1041,0,/fsr_data_acquisition,0,0,1,1
1542225709538657903,1042,0,/fsr_data_acquisition,0,0,1,1
1542225709547993898,1043,0,/fsr_data_acquisition,0,0,1,1
1542225709549180984,1044,0,/fsr_data_acquisition,0,0,1,1
1542225709553028106,1045,0,/fsr_data_acquisition,0,0,1,1
1542225709558155059,1046,0,/fsr_data_acquisition,0,0,1,1
1542225709562599897,1047,0,/fsr_data_acquisition,0,0,1,1
1542225709568568944,1048,0,/fsr_data_acquisition,0,0,1,1
1542225709572925090,1049,0,/fsr_data_acquisition,0,0,1,1
1542225709577306985,1050,0,/fsr_data_acquisition,0,0,1,1
1542225709583589076,1051,0,/fsr_data_acquisition,0,0,1,1
1542225709588257074,1052,0,/fsr_data_acquisition,0,0,1,1
1542225709592339038,1053,0,/fsr_data_acquisition,0,0,1,1
1542225709600069999,1054,0,/fsr_data_acquisition,0,0,1,1
1542225709603533029,1055,0,/fsr_data_acquisition,0,0,1,1
1542225709607332944,1056,0,/fsr_data_acquisition,0,0,1,1
1542225709614157915,1057,0,/fsr_data_acquisition,0,0,1,1
1542225709618076086,1058,0,/fsr_data_acquisition,0,0,1,1
1542225709622623920,1059,0,/fsr_data_acquisition,0,0,1,1
1542225709629736900,1060,0,/fsr_data_acquisition,0,0,1,1
1542225709633852958,1061,0,/fsr_data_acquisition,0,0,1,1
1542225709636970043,1062,0,/fsr_data_acquisition,0,0,1,1
1542225709644977092,1063,0,/fsr_data_acquisition,0,0,1,1
1542225709648260116,1064,0,/fsr_data_acquisition,0,0,1,1
1542225709653606891,1065,0,/fsr_data_acquisition,0,0,1,1
1542225709659207105,1066,0,/fsr_data_acquisition,0,0,1,1
