%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1542402604771028995,604,0,/fsr_data_acquisition,0,1,1,1
1542402604775264978,605,0,/fsr_data_acquisition,0,1,1,1
1542402604780333042,606,0,/fsr_data_acquisition,0,1,1,1
1542402604785270929,607,0,/fsr_data_acquisition,0,1,1,1
1542402604790360927,608,0,/fsr_data_acquisition,0,1,1,1
1542402604798989057,609,0,/fsr_data_acquisition,0,1,1,1
1542402604801038026,610,0,/fsr_data_acquisition,0,1,1,1
1542402604805389881,611,0,/fsr_data_acquisition,0,1,1,1
1542402604812680006,612,0,/fsr_data_acquisition,0,1,1,1
1542402604815404891,613,0,/fsr_data_acquisition,0,1,1,1
1542402604821224927,614,0,/fsr_data_acquisition,0,1,1,1
1542402604825838088,615,0,/fsr_data_acquisition,0,1,1,1
1542402604832146883,616,0,/fsr_data_acquisition,0,1,1,1
1542402604836093902,617,0,/fsr_data_acquisition,0,1,1,1
1542402604840847015,618,0,/fsr_data_acquisition,0,1,1,1
1542402604845530986,619,0,/fsr_data_acquisition,0,1,1,1
1542402604852298021,620,0,/fsr_data_acquisition,0,1,1,1
1542402604856806993,621,0,/fsr_data_acquisition,0,1,1,1
1542402604861160039,622,0,/fsr_data_acquisition,0,1,1,1
1542402604865900039,623,0,/fsr_data_acquisition,0,1,1,1
1542402604871790885,624,0,/fsr_data_acquisition,0,1,1,1
1542402604875524997,625,0,/fsr_data_acquisition,0,1,1,1
1542402604879812955,626,0,/fsr_data_acquisition,0,1,1,1
1542402604886620044,627,0,/fsr_data_acquisition,0,1,1,1
1542402604891141891,628,0,/fsr_data_acquisition,0,1,1,1
1542402604895945072,629,0,/fsr_data_acquisition,0,1,1,1
1542402604900818109,630,0,/fsr_data_acquisition,0,1,1,1
1542402604904891014,631,0,/fsr_data_acquisition,0,1,1,1
1542402604910931110,632,0,/fsr_data_acquisition,0,1,1,1
1542402604916249036,633,0,/fsr_data_acquisition,0,1,1,1
1542402604920157909,634,0,/fsr_data_acquisition,0,1,1,1
1542402604925029039,635,0,/fsr_data_acquisition,0,1,1,1
1542402604931664943,636,0,/fsr_data_acquisition,0,1,1,1
1542402604934854984,637,0,/fsr_data_acquisition,0,1,1,1
1542402604940747022,638,0,/fsr_data_acquisition,0,1,1,1
1542402604946376085,639,0,/fsr_data_acquisition,0,1,1,1
1542402604950412988,640,0,/fsr_data_acquisition,0,1,1,1
1542402604956114053,641,0,/fsr_data_acquisition,0,1,1,1
