%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1455208215721945047,1,0,/fsr_data_acquisition,1,0,0,1
1455208215725769042,2,0,/fsr_data_acquisition,1,0,0,1
1455208215726753950,3,0,/fsr_data_acquisition,1,0,0,1
1455208215727675914,4,0,/fsr_data_acquisition,1,0,0,1
1455208215728713989,5,0,/fsr_data_acquisition,1,0,0,1
1455208215729490041,6,0,/fsr_data_acquisition,1,0,0,1
1455208215731650114,7,0,/fsr_data_acquisition,1,0,0,1
1455208215736537933,8,0,/fsr_data_acquisition,1,0,0,1
1455208215741295099,9,0,/fsr_data_acquisition,1,0,0,1
1455208215751005887,10,0,/fsr_data_acquisition,1,0,0,1
1455208215756081104,11,0,/fsr_data_acquisition,1,0,0,1
1455208215758866071,12,0,/fsr_data_acquisition,1,0,0,1
1455208215761425018,13,0,/fsr_data_acquisition,1,0,0,1
1455208215766881942,14,0,/fsr_data_acquisition,1,0,0,1
1455208215771783113,15,0,/fsr_data_acquisition,1,0,0,1
1455208215776916027,16,0,/fsr_data_acquisition,1,0,0,1
1455208215783504962,17,0,/fsr_data_acquisition,1,0,0,0
1455208215786551952,18,0,/fsr_data_acquisition,0,0,0,0
1455208215791538000,19,0,/fsr_data_acquisition,0,0,0,0
1455208215796161890,20,0,/fsr_data_acquisition,0,0,0,0
1455208215802041053,21,0,/fsr_data_acquisition,0,0,0,0
1455208215806138038,22,0,/fsr_data_acquisition,0,0,0,0
1455208215815193891,23,0,/fsr_data_acquisition,0,0,0,0
1455208215817893981,24,0,/fsr_data_acquisition,0,0,0,0
1455208215822113990,25,0,/fsr_data_acquisition,0,0,0,0
1455208215826910018,26,0,/fsr_data_acquisition,0,0,0,0
1455208215831244945,27,0,/fsr_data_acquisition,0,0,0,0
1455208215836323976,28,0,/fsr_data_acquisition,0,0,0,0
1455208215842741966,29,0,/fsr_data_acquisition,0,0,0,0
1455208215847366094,30,0,/fsr_data_acquisition,0,0,0,0
1455208215853216886,31,0,/fsr_data_acquisition,0,0,0,0
1455208215856451034,32,0,/fsr_data_acquisition,0,0,0,0
1455208215861347913,33,0,/fsr_data_acquisition,0,0,0,0
1455208215866125106,34,0,/fsr_data_acquisition,0,0,0,0
1455208215872034072,35,0,/fsr_data_acquisition,0,0,0,0
1455208215878170013,36,0,/fsr_data_acquisition,0,0,0,0
1455208215882374048,37,0,/fsr_data_acquisition,0,0,0,0
1455208215886745929,38,0,/fsr_data_acquisition,0,0,0,0
1455208215891036987,39,0,/fsr_data_acquisition,0,0,0,0
1455208215897332906,40,0,/fsr_data_acquisition,0,0,0,0
1455208215901114940,41,0,/fsr_data_acquisition,0,0,0,0
1455208215907495975,42,0,/fsr_data_acquisition,0,0,0,0
1455208215913271903,43,0,/fsr_data_acquisition,0,0,0,1
1455208215917083024,44,0,/fsr_data_acquisition,0,0,0,1
1455208215920973062,45,0,/fsr_data_acquisition,0,0,0,1
1455208215927262067,46,0,/fsr_data_acquisition,0,0,0,1
1455208215931094884,47,0,/fsr_data_acquisition,0,0,0,1
1455208215938443899,48,0,/fsr_data_acquisition,0,0,0,1
1455208215942712068,49,0,/fsr_data_acquisition,0,0,0,1
1455208215946780920,50,0,/fsr_data_acquisition,0,0,0,1
1455208215951452016,51,0,/fsr_data_acquisition,0,0,0,1
1455208215956268072,52,0,/fsr_data_acquisition,0,0,0,1
1455208215961034059,53,0,/fsr_data_acquisition,0,0,0,1
1455208215966486930,54,0,/fsr_data_acquisition,1,0,0,1
1455208215971559047,55,0,/fsr_data_acquisition,1,0,0,1
1455208215976279973,56,0,/fsr_data_acquisition,1,1,0,1
1455208215981234073,57,0,/fsr_data_acquisition,1,1,0,1
1455208215986229896,58,0,/fsr_data_acquisition,1,1,0,1
1455208215990989923,59,0,/fsr_data_acquisition,1,1,1,1
1455208215997087001,60,0,/fsr_data_acquisition,1,1,1,1
1455208216001586914,61,0,/fsr_data_acquisition,1,1,1,1
1455208216006877899,62,0,/fsr_data_acquisition,1,1,1,1
1455208216011147022,63,0,/fsr_data_acquisition,1,1,1,1
1455208216016227006,64,0,/fsr_data_acquisition,1,1,1,1
1455208216021230936,65,0,/fsr_data_acquisition,1,1,1,1
1455208216027208089,66,0,/fsr_data_acquisition,1,1,1,1
1455208216031620025,67,0,/fsr_data_acquisition,1,1,1,1
1455208216036809921,68,0,/fsr_data_acquisition,1,1,1,1
1455208216041126012,69,0,/fsr_data_acquisition,1,1,1,1
1455208216046634912,70,0,/fsr_data_acquisition,1,1,1,1
1455208216051466941,71,0,/fsr_data_acquisition,1,1,1,1
1455208216056579113,72,0,/fsr_data_acquisition,1,1,1,1
1455208216061892986,73,0,/fsr_data_acquisition,1,1,1,1
1455208216067383050,74,0,/fsr_data_acquisition,1,1,1,1
1455208216071527957,75,0,/fsr_data_acquisition,1,1,1,1
1455208216076488971,76,0,/fsr_data_acquisition,1,1,1,1
1455208216081284046,77,0,/fsr_data_acquisition,1,1,1,1
1455208216086575984,78,0,/fsr_data_acquisition,1,1,1,1
1455208216092025041,79,0,/fsr_data_acquisition,1,1,1,1
1455208216097364902,80,0,/fsr_data_acquisition,1,1,1,1
1455208216101093053,81,0,/fsr_data_acquisition,1,1,1,1
1455208216106331110,82,0,/fsr_data_acquisition,1,1,1,1
1455208216111138105,83,0,/fsr_data_acquisition,1,1,1,1
1455208216116399049,84,0,/fsr_data_acquisition,1,1,1,1
1455208216122065067,85,0,/fsr_data_acquisition,1,1,1,1
1455208216129018068,86,0,/fsr_data_acquisition,1,1,1,1
1455208216131160020,87,0,/fsr_data_acquisition,1,1,1,1
1455208216136413097,88,0,/fsr_data_acquisition,1,1,1,1
1455208216141048908,89,0,/fsr_data_acquisition,1,1,1,1
1455208216146195888,90,0,/fsr_data_acquisition,1,1,1,1
1455208216152503013,91,0,/fsr_data_acquisition,1,1,1,1
1455208216158269882,92,0,/fsr_data_acquisition,1,1,1,1
1455208216161413908,93,0,/fsr_data_acquisition,1,1,1,1
1455208216166353940,94,0,/fsr_data_acquisition,1,1,1,1
1455208216174175977,95,0,/fsr_data_acquisition,1,1,1,1
1455208216176244974,96,0,/fsr_data_acquisition,1,1,1,1
1455208216182224988,97,0,/fsr_data_acquisition,1,1,1,1
1455208216189003944,98,0,/fsr_data_acquisition,1,1,1,1
1455208216191274881,99,0,/fsr_data_acquisition,1,1,1,1
1455208216196933031,100,0,/fsr_data_acquisition,1,1,1,1
1455208216201231956,101,0,/fsr_data_acquisition,1,1,1,1
1455208216206373929,102,0,/fsr_data_acquisition,1,1,1,1
1455208216211689949,103,0,/fsr_data_acquisition,1,1,1,1
1455208216216639041,104,0,/fsr_data_acquisition,1,1,1,1
1455208216221957921,105,0,/fsr_data_acquisition,1,1,1,1
1455208216226294994,106,0,/fsr_data_acquisition,1,1,1,1
1455208216231101036,107,0,/fsr_data_acquisition,1,1,1,1
1455208216236207008,108,0,/fsr_data_acquisition,1,1,1,1
1455208216241439104,109,0,/fsr_data_acquisition,1,1,1,1
1455208216246645927,110,0,/fsr_data_acquisition,1,1,1,1
1455208216252949953,111,0,/fsr_data_acquisition,1,1,1,1
1455208216256110906,112,0,/fsr_data_acquisition,1,1,1,1
1455208216261120080,113,0,/fsr_data_acquisition,1,1,1,1
1455208216266202926,114,0,/fsr_data_acquisition,1,1,1,1
1455208216271749019,115,0,/fsr_data_acquisition,1,1,1,1
1455208216276870012,116,0,/fsr_data_acquisition,1,1,1,1
1455208216281653881,117,0,/fsr_data_acquisition,1,1,1,1
1455208216286226987,118,0,/fsr_data_acquisition,1,1,1,1
1455208216290980100,119,0,/fsr_data_acquisition,1,1,1,1
1455208216296202898,120,0,/fsr_data_acquisition,1,1,1,1
1455208216301364898,121,0,/fsr_data_acquisition,1,1,1,1
1455208216307423114,122,0,/fsr_data_acquisition,1,1,1,1
1455208216312475919,123,0,/fsr_data_acquisition,1,1,1,1
1455208216316134929,124,0,/fsr_data_acquisition,1,1,1,1
1455208216321228981,125,0,/fsr_data_acquisition,1,1,1,1
1455208216326316118,126,0,/fsr_data_acquisition,1,1,1,1
1455208216331389904,127,0,/fsr_data_acquisition,1,1,1,1
1455208216337632894,128,0,/fsr_data_acquisition,1,1,1,1
1455208216342123031,129,0,/fsr_data_acquisition,1,1,1,1
1455208216346474885,130,0,/fsr_data_acquisition,1,1,1,1
