%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1541195157244456052,1,0,/fsr_data_acquisition,0,0,1,1
1541195157248987913,2,0,/fsr_data_acquisition,0,0,1,1
1541195157250166893,3,0,/fsr_data_acquisition,0,0,1,1
1541195157252841949,4,0,/fsr_data_acquisition,0,0,1,1
1541195157253839015,5,0,/fsr_data_acquisition,0,0,1,1
1541195157257608890,6,0,/fsr_data_acquisition,0,0,1,1
1541195157259258031,7,0,/fsr_data_acquisition,0,0,1,1
1541195157262268066,8,0,/fsr_data_acquisition,0,0,1,1
1541195157267318010,9,0,/fsr_data_acquisition,0,0,1,1
1541195157271112918,10,0,/fsr_data_acquisition,0,0,1,1
1541195157276082992,11,0,/fsr_data_acquisition,0,0,1,1
1541195157286084890,12,0,/fsr_data_acquisition,0,0,1,1
1541195157287688970,13,0,/fsr_data_acquisition,0,0,1,1
1541195157293370008,14,0,/fsr_data_acquisition,0,0,1,1
1541195157297857999,15,0,/fsr_data_acquisition,0,0,1,1
1541195157301481008,16,0,/fsr_data_acquisition,0,0,1,1
1541195157308914899,17,0,/fsr_data_acquisition,0,0,1,1
1541195157312705039,18,0,/fsr_data_acquisition,0,0,1,1
1541195157316387891,19,0,/fsr_data_acquisition,0,0,1,1
1541195157322191953,20,0,/fsr_data_acquisition,0,0,1,1
1541195157329912900,21,0,/fsr_data_acquisition,0,0,1,1
1541195157332772016,22,0,/fsr_data_acquisition,0,0,1,1
1541195157336730957,23,0,/fsr_data_acquisition,0,0,1,1
1541195157343839883,24,0,/fsr_data_acquisition,0,0,1,1
1541195157349303960,25,0,/fsr_data_acquisition,0,0,1,1
1541195157351458072,26,0,/fsr_data_acquisition,0,0,1,1
1541195157360340118,27,0,/fsr_data_acquisition,0,0,1,1
1541195157363583087,28,0,/fsr_data_acquisition,0,0,1,1
1541195157366662025,29,0,/fsr_data_acquisition,0,0,1,1
1541195157373600006,30,0,/fsr_data_acquisition,0,0,1,1
1541195157377176046,31,0,/fsr_data_acquisition,0,0,1,1
1541195157383574962,32,0,/fsr_data_acquisition,0,0,1,0
1541195157389336109,33,0,/fsr_data_acquisition,0,0,1,0
1541195157392956972,34,0,/fsr_data_acquisition,0,0,1,0
1541195157396833896,35,0,/fsr_data_acquisition,0,0,1,0
1541195157401458024,36,0,/fsr_data_acquisition,0,0,1,0
1541195157408090114,37,0,/fsr_data_acquisition,1,0,0,0
1541195157412401914,38,0,/fsr_data_acquisition,0,0,0,0
1541195157417021036,39,0,/fsr_data_acquisition,0,0,0,0
1541195157422920942,40,0,/fsr_data_acquisition,0,0,1,0
1541195157427035093,41,0,/fsr_data_acquisition,0,0,0,0
1541195157431611061,42,0,/fsr_data_acquisition,0,0,0,0
1541195157438703060,43,0,/fsr_data_acquisition,0,0,0,0
1541195157442617893,44,0,/fsr_data_acquisition,0,0,0,0
1541195157447422027,45,0,/fsr_data_acquisition,0,0,0,0
1541195157453578948,46,0,/fsr_data_acquisition,0,0,0,0
1541195157457640886,47,0,/fsr_data_acquisition,0,0,0,0
1541195157461373090,48,0,/fsr_data_acquisition,0,0,0,0
1541195157468638896,49,0,/fsr_data_acquisition,0,0,0,0
1541195157472428083,50,0,/fsr_data_acquisition,0,0,0,0
1541195157477390050,51,0,/fsr_data_acquisition,0,0,0,0
1541195157483834981,52,0,/fsr_data_acquisition,1,0,0,0
1541195157487428903,53,0,/fsr_data_acquisition,0,0,0,0
1541195157491410017,54,0,/fsr_data_acquisition,0,0,0,0
1541195157498693943,55,0,/fsr_data_acquisition,0,0,0,0
1541195157502583026,56,0,/fsr_data_acquisition,0,0,0,0
1541195157507498979,57,0,/fsr_data_acquisition,1,0,0,0
1541195157513523101,58,0,/fsr_data_acquisition,0,0,0,0
1541195157517885923,59,0,/fsr_data_acquisition,0,0,0,0
1541195157521352052,60,0,/fsr_data_acquisition,0,0,0,0
1541195157527986049,61,0,/fsr_data_acquisition,0,0,0,0
1541195157533337116,62,0,/fsr_data_acquisition,0,0,0,0
1541195157537585973,63,0,/fsr_data_acquisition,0,0,0,0
1541195157543077945,64,0,/fsr_data_acquisition,0,0,0,0
1541195157547322034,65,0,/fsr_data_acquisition,0,0,0,0
1541195157551729917,66,0,/fsr_data_acquisition,0,0,0,0
1541195157557492017,67,0,/fsr_data_acquisition,0,0,0,0
1541195157562557935,68,0,/fsr_data_acquisition,0,0,0,0
1541195157567576885,69,0,/fsr_data_acquisition,0,0,0,0
1541195157572036027,70,0,/fsr_data_acquisition,0,0,0,0
1541195157578886032,71,0,/fsr_data_acquisition,0,0,0,0
1541195157582315921,72,0,/fsr_data_acquisition,0,0,0,0
1541195157586497068,73,0,/fsr_data_acquisition,0,0,0,0
1541195157593130111,74,0,/fsr_data_acquisition,0,0,0,0
1541195157597618103,75,0,/fsr_data_acquisition,0,0,0,0
1541195157602513074,76,0,/fsr_data_acquisition,0,0,0,0
1541195157609230995,77,0,/fsr_data_acquisition,0,0,0,0
1541195157612078905,78,0,/fsr_data_acquisition,0,0,0,0
1541195157616424083,79,0,/fsr_data_acquisition,0,0,0,0
1541195157622911930,80,0,/fsr_data_acquisition,0,0,0,0
1541195157628174066,81,0,/fsr_data_acquisition,0,0,0,0
1541195157633482933,82,0,/fsr_data_acquisition,0,0,0,0
1541195157639193058,83,0,/fsr_data_acquisition,0,0,0,0
1541195157642438888,84,0,/fsr_data_acquisition,0,0,0,0
1541195157646852970,85,0,/fsr_data_acquisition,0,0,0,0
1541195157653968095,86,0,/fsr_data_acquisition,0,0,0,0
1541195157657793045,87,0,/fsr_data_acquisition,0,0,0,0
1541195157661758899,88,0,/fsr_data_acquisition,0,0,0,0
1541195157670084953,89,0,/fsr_data_acquisition,0,0,0,0
1541195157673723936,90,0,/fsr_data_acquisition,0,0,0,0
1541195157676393032,91,0,/fsr_data_acquisition,0,0,0,0
1541195157683790922,92,0,/fsr_data_acquisition,0,0,0,0
1541195157687803983,93,0,/fsr_data_acquisition,0,0,0,0
1541195157692854881,94,0,/fsr_data_acquisition,0,0,0,0
1541195157700206041,95,0,/fsr_data_acquisition,0,0,0,1
1541195157704066038,96,0,/fsr_data_acquisition,0,0,0,1
1541195157706733942,97,0,/fsr_data_acquisition,0,0,0,1
1541195157713057041,98,0,/fsr_data_acquisition,0,0,0,1
1541195157722295045,100,0,/fsr_data_acquisition,0,0,0,1
1541195157730632066,101,0,/fsr_data_acquisition,0,0,0,1
1541195157732883930,102,0,/fsr_data_acquisition,0,0,0,1
1541195157736737012,103,0,/fsr_data_acquisition,0,0,0,1
1541195157744144916,104,0,/fsr_data_acquisition,0,0,0,1
1541195157751722097,105,0,/fsr_data_acquisition,0,0,0,1
1541195157754359006,106,0,/fsr_data_acquisition,0,0,0,1
1541195157759318113,107,0,/fsr_data_acquisition,0,0,0,1
1541195157762532949,108,0,/fsr_data_acquisition,0,0,0,1
1541195157766813993,109,0,/fsr_data_acquisition,0,0,0,1
1541195157778688907,111,0,/fsr_data_acquisition,0,0,0,1
1541195157781543016,112,0,/fsr_data_acquisition,0,0,0,1
1541195157788801908,113,0,/fsr_data_acquisition,0,0,0,1
1541195157792623043,114,0,/fsr_data_acquisition,1,0,0,1
1541195157796988964,115,0,/fsr_data_acquisition,1,0,0,1
1541195157801209926,116,0,/fsr_data_acquisition,1,1,0,1
1541195157808727025,117,0,/fsr_data_acquisition,1,1,0,1
1541195157813031911,118,0,/fsr_data_acquisition,1,1,0,1
1541195157817516088,119,0,/fsr_data_acquisition,1,1,0,1
1541195157823015928,120,0,/fsr_data_acquisition,1,1,0,1
1541195157828497886,121,0,/fsr_data_acquisition,1,1,0,1
1541195157831453084,122,0,/fsr_data_acquisition,1,1,0,1
1541195157840161085,123,0,/fsr_data_acquisition,1,1,0,1
1541195157844142913,124,0,/fsr_data_acquisition,1,1,0,1
1541195157848617076,125,0,/fsr_data_acquisition,1,1,0,1
1541195157854659080,126,0,/fsr_data_acquisition,1,1,0,1
1541195157858298063,127,0,/fsr_data_acquisition,1,1,0,1
1541195157861613988,128,0,/fsr_data_acquisition,1,1,0,1
1541195157869225025,129,0,/fsr_data_acquisition,1,1,0,1
1541195157874155998,130,0,/fsr_data_acquisition,1,1,0,1
1541195157882546901,131,0,/fsr_data_acquisition,1,1,0,1
1541195157884591102,132,0,/fsr_data_acquisition,1,1,0,1
1541195157886646986,133,0,/fsr_data_acquisition,1,1,0,1
1541195157891454935,134,0,/fsr_data_acquisition,1,1,0,1
1541195157897546052,135,0,/fsr_data_acquisition,1,1,1,1
1541195157902023077,136,0,/fsr_data_acquisition,1,1,0,1
1541195157912909984,137,0,/fsr_data_acquisition,1,1,0,1
1541195157914572954,138,0,/fsr_data_acquisition,1,1,0,1
1541195157917124032,139,0,/fsr_data_acquisition,1,1,0,1
1541195157922439098,140,0,/fsr_data_acquisition,1,1,0,1
1541195157929563045,141,0,/fsr_data_acquisition,1,1,0,1
1541195157932272911,142,0,/fsr_data_acquisition,1,1,0,1
1541195157937335968,143,0,/fsr_data_acquisition,1,1,0,1
1541195157945509910,144,0,/fsr_data_acquisition,1,1,0,1
1541195157947669982,145,0,/fsr_data_acquisition,1,1,0,1
1541195157951302051,146,0,/fsr_data_acquisition,1,1,0,1
1541195157958142042,147,0,/fsr_data_acquisition,1,1,0,1
1541195157962446928,148,0,/fsr_data_acquisition,1,1,0,1
1541195157967112064,149,0,/fsr_data_acquisition,1,1,0,1
1541195157971457958,150,0,/fsr_data_acquisition,1,1,0,1
1541195157977062940,151,0,/fsr_data_acquisition,1,1,0,1
1541195157981534004,152,0,/fsr_data_acquisition,1,1,0,1
1541195157992274999,154,0,/fsr_data_acquisition,1,1,0,1
1541195157998039007,155,0,/fsr_data_acquisition,1,1,0,1
1541195158008980035,157,0,/fsr_data_acquisition,1,1,0,1
1541195158011265993,158,0,/fsr_data_acquisition,1,1,0,1
1541195158016774892,159,0,/fsr_data_acquisition,1,1,0,1
1541195158022331953,160,0,/fsr_data_acquisition,1,1,0,1
1541195158030492067,161,0,/fsr_data_acquisition,1,1,0,1
1541195158034302949,162,0,/fsr_data_acquisition,1,1,0,1
1541195158040205001,163,0,/fsr_data_acquisition,1,1,0,1
1541195158049887895,165,0,/fsr_data_acquisition,1,1,0,1
1541195158053929090,166,0,/fsr_data_acquisition,1,1,0,1
1541195158057729005,167,0,/fsr_data_acquisition,1,1,0,1
1541195158063354015,168,0,/fsr_data_acquisition,1,1,0,1
1541195158068773031,169,0,/fsr_data_acquisition,1,1,0,1
1541195158071851968,170,0,/fsr_data_acquisition,1,1,1,1
1541195158076910972,171,0,/fsr_data_acquisition,1,1,1,1
1541195158083800077,172,0,/fsr_data_acquisition,1,1,1,1
1541195158093477010,174,0,/fsr_data_acquisition,1,1,1,1
1541195158100676059,175,0,/fsr_data_acquisition,1,1,1,1
1541195158102792024,176,0,/fsr_data_acquisition,1,1,1,1
1541195158106426000,177,0,/fsr_data_acquisition,1,1,1,1
1541195158113681077,178,0,/fsr_data_acquisition,1,1,1,1
1541195158119585037,179,0,/fsr_data_acquisition,1,1,1,1
1541195158130700111,180,0,/fsr_data_acquisition,1,1,1,1
1541195158132570028,182,0,/fsr_data_acquisition,1,1,1,1
1541195158136478900,183,0,/fsr_data_acquisition,1,1,1,1
1541195158142775058,184,0,/fsr_data_acquisition,1,1,1,1
1541195158153156042,185,0,/fsr_data_acquisition,1,1,1,1
