%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1540942510022149085,1,0,/fsr_data_acquisition,1,1,1,1
1540942510025527000,2,0,/fsr_data_acquisition,1,1,1,1
1540942510026015043,3,0,/fsr_data_acquisition,1,1,1,1
1540942510030080080,4,0,/fsr_data_acquisition,1,1,1,1
1540942510034569978,5,0,/fsr_data_acquisition,1,1,1,1
1540942510039932966,6,0,/fsr_data_acquisition,1,1,1,1
1540942510044524908,7,0,/fsr_data_acquisition,1,1,1,1
1540942510049760103,8,0,/fsr_data_acquisition,1,1,1,1
1540942510054852008,9,0,/fsr_data_acquisition,1,1,1,1
1540942510059950113,10,0,/fsr_data_acquisition,1,1,1,1
1540942510064764976,11,0,/fsr_data_acquisition,1,1,1,1
1540942510069827079,12,0,/fsr_data_acquisition,1,1,1,1
1540942510074651956,13,0,/fsr_data_acquisition,1,1,1,1
1540942510079883098,14,0,/fsr_data_acquisition,1,1,1,1
1540942510084726095,15,0,/fsr_data_acquisition,1,1,1,1
1540942510089617013,16,0,/fsr_data_acquisition,1,1,1,1
1540942510094702005,17,0,/fsr_data_acquisition,1,1,1,1
1540942510099620103,18,0,/fsr_data_acquisition,1,1,1,1
1540942510104660034,19,0,/fsr_data_acquisition,1,1,1,1
1540942510109555959,20,0,/fsr_data_acquisition,1,1,1,1
1540942510114800930,21,0,/fsr_data_acquisition,1,1,1,1
1540942510119621038,22,0,/fsr_data_acquisition,1,1,1,1
1540942510124665975,23,0,/fsr_data_acquisition,1,1,1,1
1540942510129609107,24,0,/fsr_data_acquisition,1,1,1,1
1540942510134605884,25,0,/fsr_data_acquisition,1,1,1,1
1540942510139542102,26,0,/fsr_data_acquisition,1,1,1,1
1540942510144834995,27,0,/fsr_data_acquisition,1,1,1,1
1540942510150774002,28,0,/fsr_data_acquisition,1,1,1,1
1540942510156802892,29,0,/fsr_data_acquisition,1,1,1,1
1540942510160793066,30,0,/fsr_data_acquisition,1,1,1,1
1540942510169718027,31,0,/fsr_data_acquisition,1,1,1,1
1540942510174139022,32,0,/fsr_data_acquisition,1,1,1,1
1540942510177195072,33,0,/fsr_data_acquisition,1,1,1,1
1540942510179917097,34,0,/fsr_data_acquisition,1,1,1,1
1540942510185769081,35,0,/fsr_data_acquisition,1,1,1,1
1540942510190809965,36,0,/fsr_data_acquisition,1,1,1,1
1540942510195113897,37,0,/fsr_data_acquisition,1,1,1,1
1540942510199867963,38,0,/fsr_data_acquisition,1,1,1,1
1540942510206146001,39,0,/fsr_data_acquisition,1,1,1,1
1540942510210659027,40,0,/fsr_data_acquisition,1,1,1,1
1540942510215733051,41,0,/fsr_data_acquisition,1,1,1,1
1540942510220537900,42,0,/fsr_data_acquisition,1,1,1,1
1540942510225210905,43,0,/fsr_data_acquisition,1,1,1,1
1540942510230413913,44,0,/fsr_data_acquisition,1,1,1,1
1540942510236990928,45,0,/fsr_data_acquisition,1,1,1,0
1540942510241287946,46,0,/fsr_data_acquisition,1,1,1,0
1540942510246553897,47,0,/fsr_data_acquisition,1,1,1,0
1540942510251341104,48,0,/fsr_data_acquisition,1,1,1,0
1540942510255568981,49,0,/fsr_data_acquisition,1,1,1,0
1540942510260302066,50,0,/fsr_data_acquisition,1,1,1,0
1540942510275262117,52,0,/fsr_data_acquisition,1,1,1,0
1540942510277750015,53,0,/fsr_data_acquisition,1,1,1,0
1540942510281642913,54,0,/fsr_data_acquisition,1,1,1,0
1540942510285087108,55,0,/fsr_data_acquisition,1,1,1,0
1540942510290968894,56,0,/fsr_data_acquisition,1,1,1,0
1540942510296791076,57,0,/fsr_data_acquisition,1,1,1,0
1540942510300559043,58,0,/fsr_data_acquisition,1,1,1,0
1540942510307193994,59,0,/fsr_data_acquisition,1,1,1,0
1540942510311378955,60,0,/fsr_data_acquisition,1,1,1,0
1540942510315561056,61,0,/fsr_data_acquisition,1,1,1,0
1540942510319984912,62,0,/fsr_data_acquisition,1,1,1,0
1540942510326194047,63,0,/fsr_data_acquisition,1,1,1,0
1540942510333121061,64,0,/fsr_data_acquisition,1,1,1,0
1540942510336539983,65,0,/fsr_data_acquisition,1,1,1,0
1540942510342861890,66,0,/fsr_data_acquisition,1,1,1,0
1540942510345920085,67,0,/fsr_data_acquisition,1,1,1,0
1540942510349659919,68,0,/fsr_data_acquisition,1,1,1,0
