%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.quat_x,field.quat_y,field.quat_z,field.quat_w,field.gyro_x,field.gyro_y,field.gyro_z,field.accel_x,field.accel_y,field.accel_z
1543854178988143920,197,0,/imu_data_acquisition2,33405.0,-0.0126342773438,0.046875,0.664794921875,0.745422363281,0.0,3.75,1.3125,-0.79,0.61,9.94
1543854178997682094,198,0,/imu_data_acquisition2,33415.0,-0.0126953125,0.0471801757812,0.664855957031,0.745361328125,0.0625,3.5,1.0625,-0.79,0.8,9.89
1543854179008407115,199,0,/imu_data_acquisition2,33425.0,-0.0128173828125,0.0474853515625,0.664916992188,0.745300292969,-0.3125,3.6875,0.875,-0.75,0.67,10.01
1543854179029723882,201,0,/imu_data_acquisition2,33446.0,-0.0130615234375,0.048095703125,0.6650390625,0.7451171875,-0.1875,3.8125,1.125,-0.84,0.76,9.77
1543854179040112972,202,0,/imu_data_acquisition2,33457.0,-0.01318359375,0.0484008789062,0.665100097656,0.745056152344,-0.1875,4.1875,0.9375,-1.01,0.72,10.2
1543854179048751115,203,0,/imu_data_acquisition2,33466.0,-0.0133056640625,0.0487060546875,0.665161132812,0.744995117188,-0.3125,3.6875,0.6875,-0.67,0.71,9.87
1543854179060777902,204,0,/imu_data_acquisition2,33474.0,-0.013427734375,0.0490112304688,0.665161132812,0.744995117188,-0.125,4.3125,0.375,-0.96,0.74,9.83
1543854179070538997,205,0,/imu_data_acquisition2,33488.0,-0.0136108398438,0.0494384765625,0.665161132812,0.744934082031,-0.125,4.25,0.3125,-1.21,0.66,9.99
1543854179079834938,206,0,/imu_data_acquisition2,33497.0,-0.0137329101562,0.0496826171875,0.665161132812,0.744934082031,0.0,3.75,0.25,-0.7,0.69,-0.01
1543854179090926885,207,0,/imu_data_acquisition2,33504.0,-0.013916015625,0.0499877929688,0.665161132812,0.744934082031,0.0,4.0625,0.0,-0.99,0.64,9.86
1543854179098814964,208,0,/imu_data_acquisition2,33516.0,-0.01416015625,0.0503540039062,0.665100097656,0.744873046875,0.125,4.0,-0.125,-1.19,0.64,10.0
1543854179110174894,209,0,/imu_data_acquisition2,33526.0,-0.0142822265625,0.0505981445312,0.665100097656,0.744873046875,0.3125,3.6875,-0.125,-0.88,0.66,9.69
1543854179116492033,210,0,/imu_data_acquisition2,33534.0,-0.0144653320312,0.0508422851562,0.665100097656,0.744873046875,0.25,3.1875,0.0,-0.83,0.59,9.82
1543854179127927064,211,0,/imu_data_acquisition2,33545.0,-0.0145874023438,0.0510864257812,0.665100097656,0.744873046875,0.3125,3.0625,-0.0625,-0.88,0.62,10.07
1543854179138324022,212,0,/imu_data_acquisition2,33556.0,-0.0147094726562,0.05126953125,0.665100097656,0.744812011719,0.4375,3.3125,0.0625,-0.84,0.61,9.82
1543854179147617101,213,0,/imu_data_acquisition2,33564.0,-0.0148315429688,0.0516357421875,0.665100097656,0.744812011719,0.625,4.4375,-0.125,-0.96,0.69,10.12
1543854179158467054,214,0,/imu_data_acquisition2,33575.0,-0.0150146484375,0.0520629882812,0.665100097656,0.744750976562,0.6875,5.4375,-0.5625,-0.75,0.77,9.79
1543854179169236898,215,0,/imu_data_acquisition2,33587.0,-0.0151977539062,0.0525512695312,0.6650390625,0.744812011719,0.8125,6.9375,-1.3125,-0.82,0.78,9.91
1543854179179898023,216,0,/imu_data_acquisition2,33597.0,-0.0154418945312,0.0531616210938,0.664916992188,0.744873046875,0.875,8.0625,-1.625,-0.92,0.72,9.83
1543854179187048912,217,0,/imu_data_acquisition2,33605.0,-0.0158081054688,0.0538330078125,0.664733886719,0.744934082031,1.125,8.8125,-2.4375,-1.05,0.74,9.96
1543854179198348045,218,0,/imu_data_acquisition2,33616.0,-0.0161743164062,0.0545654296875,0.664489746094,0.7451171875,1.3125,9.5,-3.6875,-0.98,-0.01,-0.01
1543854179210689067,219,0,/imu_data_acquisition2,33628.0,-0.0165405273438,0.055419921875,0.664184570312,0.745361328125,1.6875,10.0625,-4.5625,-1.2,0.94,9.83
1543854179216831922,220,0,/imu_data_acquisition2,33635.0,-0.01708984375,0.0563354492188,0.663757324219,0.74560546875,2.5,12.0,-5.9375,-0.97,0.98,10.82
1543854179227852106,221,0,/imu_data_acquisition2,33645.0,-0.0176391601562,0.0572509765625,0.663330078125,0.745910644531,2.4375,12.625,-6.6875,-1.43,0.74,9.74
1543854179238579034,222,0,/imu_data_acquisition2,33655.0,-0.018310546875,0.0582885742188,0.662902832031,0.746215820312,2.8125,14.4375,-6.4375,-1.72,1.62,9.44
1543854179247786045,223,0,/imu_data_acquisition2,33665.0,-0.01904296875,0.0593872070312,0.662475585938,0.746520996094,2.75,15.0625,-6.125,-0.55,0.16,10.31
1543854179257761001,224,0,/imu_data_acquisition2,33676.0,-0.0200805664062,0.060791015625,0.661926269531,0.746826171875,2.0625,20.8125,-8.0,-2.43,1.67,11.12
1543854179272059917,225,0,/imu_data_acquisition2,33687.0,-0.021240234375,0.062255859375,0.661193847656,0.747314453125,1.875,21.6875,-10.6875,0.02,-3.7,9.45
1543854179277419090,226,0,/imu_data_acquisition2,33695.0,-0.0227661132812,0.0641479492188,0.660461425781,0.747802734375,2.0625,28.75,-10.6875,-1.12,1.9,12.48
1543854179287885904,227,0,/imu_data_acquisition2,33705.0,-0.0244750976562,0.0662841796875,0.659790039062,0.748107910156,1.9375,32.125,-8.625,-0.46,1.58,9.73
1543854179297717094,228,0,/imu_data_acquisition2,33715.0,-0.026611328125,0.068603515625,0.6591796875,0.748413085938,0.5,36.5625,-9.125,-1.02,-0.24,9.63
1543854179307215929,229,0,/imu_data_acquisition2,33725.0,-0.0289916992188,0.0712280273438,0.658447265625,0.748657226562,0.4375,42.125,-9.25,-1.06,-0.07,9.13
1543854179318259000,230,0,/imu_data_acquisition2,33735.0,-0.0316162109375,0.0741577148438,0.657775878906,0.748901367188,0.375,46.125,-9.0625,-0.88,-0.19,9.33
1543854179326298952,231,0,/imu_data_acquisition2,33744.0,-0.03466796875,0.0773315429688,0.657104492188,0.7490234375,-1.8125,52.4375,-8.0625,-0.66,0.44,9.3
1543854179337997913,232,0,/imu_data_acquisition2,33755.0,-0.038330078125,0.0809936523438,0.656555175781,0.748962402344,-3.4375,60.9375,-6.6875,-0.98,0.72,9.41
1543854179347249984,233,0,/imu_data_acquisition2,33765.0,-0.0420532226562,0.0847778320312,0.656005859375,0.748779296875,-2.9375,62.8125,-5.125,-1.53,0.69,9.88
1543854179357120037,234,0,/imu_data_acquisition2,33775.0,-0.045654296875,0.0884399414062,0.655517578125,0.748596191406,-3.125,61.4375,-4.625,-1.58,0.95,9.82
1543854179368066072,235,0,/imu_data_acquisition2,33785.0,-0.049560546875,0.09228515625,0.654968261719,0.748352050781,-4.0625,64.8125,-4.625,-1.78,0.82,9.47
1543854179377407073,236,0,/imu_data_acquisition2,33795.0,-0.0537109375,0.0963745117188,0.654418945312,0.748046875,-4.6875,68.8125,-4.625,-1.56,0.32,9.52
1543854179388590097,237,0,/imu_data_acquisition2,33806.0,-0.0581665039062,0.100646972656,0.653869628906,0.747619628906,-6.125,72.875,-4.6875,-1.79,0.37,9.57
1543854179396636962,238,0,/imu_data_acquisition2,33814.0,-0.06298828125,0.105102539062,0.653259277344,0.747131347656,-8.0625,78.0,-4.0625,-1.69,0.74,9.3
1543854179407399892,239,0,/imu_data_acquisition2,33825.0,-6.103515625e-05,-6.103515625e-05,-6.103515625e-05,0.746459960938,-9.5625,84.75,-2.8125,-1.9,0.82,8.84
1543854179417503118,240,0,/imu_data_acquisition2,33835.0,-0.073974609375,0.114929199219,0.652099609375,0.745666503906,-10.625,90.0,-2.0,-2.56,0.33,9.42
1543854179428081989,241,0,/imu_data_acquisition2,33846.0,-0.079833984375,0.120239257812,0.651550292969,0.744750976562,-10.8125,93.25,-1.6875,-2.28,0.12,9.56
1543854179437468051,242,0,/imu_data_acquisition2,33855.0,-6.103515625e-05,-6.103515625e-05,-6.103515625e-05,0.744750976562,-10.0625,97.25,-0.75,-2.49,0.13,9.19
1543854179447428941,243,0,/imu_data_acquisition2,33865.0,-0.0918579101562,0.131469726562,0.650268554688,0.742553710938,-9.625,99.5625,0.0,-3.24,0.5,9.27
1543854179457451105,244,0,/imu_data_acquisition2,33875.0,-6.103515625e-05,-6.103515625e-05,-6.103515625e-05,0.741333007812,-9.25,100.125,0.875,-3.37,0.49,9.23
1543854179466291904,245,0,/imu_data_acquisition2,33884.0,-0.10400390625,0.143005371094,0.648986816406,0.739990234375,-9.1875,100.0,1.5,-3.71,0.43,9.36
1543854179477421045,246,0,/imu_data_acquisition2,33895.0,-0.10986328125,0.148681640625,0.648254394531,0.738647460938,-8.75,97.8125,1.0625,-3.83,0.13,9.36
1543854179489032983,247,0,/imu_data_acquisition2,33906.0,-0.10986328125,0.148681640625,0.648254394531,0.738647460938,-8.5625,97.375,-0.125,-4.04,0.13,-0.01
1543854179496337890,248,0,/imu_data_acquisition2,33914.0,-0.11572265625,0.154296875,0.6474609375,0.7373046875,-7.75,96.5625,-1.0,-4.16,0.22,9.48
1543854179507569074,249,0,/imu_data_acquisition2,33925.0,-0.127258300781,0.165405273438,0.645446777344,0.734741210938,-7.3125,96.3125,-2.0625,-3.72,0.25,9.11
1543854179518213033,250,0,/imu_data_acquisition2,33936.0,-0.133056640625,0.171081542969,0.644287109375,0.733459472656,-6.4375,98.0,-3.3125,-4.43,0.14,9.14
