%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1542211874099008083,504,0,/fsr_data_acquisition,0,0,1,1
1542211874101332902,505,0,/fsr_data_acquisition,0,0,1,1
1542211874106401920,506,0,/fsr_data_acquisition,1,0,1,1
1542211874111284017,507,0,/fsr_data_acquisition,1,0,1,1
1542211874116130113,508,0,/fsr_data_acquisition,1,0,1,1
1542211874121140956,509,0,/fsr_data_acquisition,1,0,1,1
1542211874126601934,510,0,/fsr_data_acquisition,1,0,1,1
1542211874131091117,511,0,/fsr_data_acquisition,1,0,1,1
1542211874136439085,512,0,/fsr_data_acquisition,1,0,1,1
1542211874141448020,513,0,/fsr_data_acquisition,1,0,1,1
1542211874146351099,514,0,/fsr_data_acquisition,1,0,1,1
1542211874151617050,515,0,/fsr_data_acquisition,1,0,1,1
1542211874156147003,516,0,/fsr_data_acquisition,1,0,1,1
1542211874161220073,517,0,/fsr_data_acquisition,1,0,1,1
1542211874167197942,518,0,/fsr_data_acquisition,1,0,1,1
1542211874171688079,519,0,/fsr_data_acquisition,1,0,1,1
1542211874176100969,520,0,/fsr_data_acquisition,1,0,1,1
1542211874181207895,521,0,/fsr_data_acquisition,1,0,1,1
1542211874186230897,522,0,/fsr_data_acquisition,1,0,1,1
1542211874190784931,523,0,/fsr_data_acquisition,1,0,1,1
1542211874196057081,524,0,/fsr_data_acquisition,1,0,1,1
1542211874201184988,525,0,/fsr_data_acquisition,1,0,1,1
1542211874206778049,526,0,/fsr_data_acquisition,1,0,1,1
1542211874212805986,527,0,/fsr_data_acquisition,1,0,1,1
1542211874216762065,528,0,/fsr_data_acquisition,1,0,1,1
1542211874221486091,529,0,/fsr_data_acquisition,1,0,1,1
1542211874226210117,530,0,/fsr_data_acquisition,1,0,1,1
1542211874234107971,531,0,/fsr_data_acquisition,1,0,1,1
1542211874236495018,532,0,/fsr_data_acquisition,1,0,1,1
1542211874241342067,533,0,/fsr_data_acquisition,1,0,1,1
1542211874247431993,534,0,/fsr_data_acquisition,1,0,1,1
1542211874253036975,535,0,/fsr_data_acquisition,1,0,1,1
1542211874263545989,536,0,/fsr_data_acquisition,1,0,1,1
1542211874271684885,537,0,/fsr_data_acquisition,1,0,1,1
1542211874272722959,538,0,/fsr_data_acquisition,1,0,1,1
1542211874273133039,539,0,/fsr_data_acquisition,1,0,1,1
1542211874275594949,540,0,/fsr_data_acquisition,1,0,1,1
1542211874282536029,541,0,/fsr_data_acquisition,1,0,1,1
1542211874287003993,542,0,/fsr_data_acquisition,1,0,1,1
1542211874291883945,543,0,/fsr_data_acquisition,1,0,1,1
1542211874301326990,544,0,/fsr_data_acquisition,1,0,1,1
1542211874302263975,545,0,/fsr_data_acquisition,1,1,1,1
1542211874305605888,546,0,/fsr_data_acquisition,1,1,1,1
1542211874312781095,547,0,/fsr_data_acquisition,1,1,1,1
1542211874316989898,548,0,/fsr_data_acquisition,1,1,1,1
1542211874321598052,549,0,/fsr_data_acquisition,1,1,1,1
1542211874328563928,550,0,/fsr_data_acquisition,1,1,1,1
