%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.quat_x,field.quat_y,field.quat_z,field.quat_w,field.gyro_x,field.gyro_y,field.gyro_z,field.accel_x,field.accel_y,field.accel_z
1542210294474065065,1,0,/imu_data_acquisition2,95550.0,0.0292358398438,0.0896606445312,0.840698242188,0.533203125,7.875,24.5,2.75,-0.23,1.08,9.72
1542210294484014034,2,0,/imu_data_acquisition2,95560.0,-6.103515625e-05,-6.103515625e-05,-6.103515625e-05,0.532836914062,7.9375,26.4375,2.1875,-0.37,0.92,9.55
1542210294494610071,3,0,/imu_data_acquisition2,95571.0,0.026123046875,0.0932006835938,0.840881347656,0.532470703125,8.1875,28.0,1.625,-1.19,1.4,9.84
1542210294507405042,4,0,/imu_data_acquisition2,95584.0,0.0245361328125,0.094970703125,-6.103515625e-05,0.532104492188,7.25,27.375,2.3125,-1.96,1.83,-0.01
1542210294517261981,5,0,/imu_data_acquisition2,95593.0,0.0230102539062,0.0965576171875,0.841125488281,0.531616210938,6.3125,25.75,3.4375,-1.59,2.11,10.23
1542210294523960113,6,0,/imu_data_acquisition2,95600.0,0.0214233398438,0.0977172851562,0.841491699219,0.530944824219,1.0,23.875,6.5,-1.59,2.11,10.23
1542210294535073995,7,0,/imu_data_acquisition2,95611.0,0.0198364257812,0.09912109375,0.841735839844,0.530395507812,4.0,25.4375,5.1875,-0.71,1.14,9.07
1542210294543936967,8,0,/imu_data_acquisition2,95620.0,0.0182495117188,0.1005859375,0.841918945312,0.52978515625,4.625,25.8125,4.875,0.18,1.7,10.04
1542210294557321071,9,0,/imu_data_acquisition2,95634.0,0.0166625976562,0.10205078125,0.842163085938,0.529174804688,4.0,25.5,5.25,-0.98,2.05,10.3
1542210294568731069,10,0,/imu_data_acquisition2,95644.0,0.0151977539062,0.103149414062,0.842468261719,0.528503417969,1.6875,22.0625,6.5,-0.57,1.07,10.0
1542210294573952913,11,0,/imu_data_acquisition2,95650.0,0.0137329101562,-6.103515625e-05,-6.103515625e-05,0.527709960938,-5.4375,18.25,9.625,-0.57,1.07,10.0
1542210294584012985,12,0,/imu_data_acquisition2,95660.0,0.0123901367188,0.104064941406,-6.103515625e-05,0.526916503906,-3.5,17.9375,8.9375,-0.56,1.35,9.62
1542210294593853950,13,0,/imu_data_acquisition2,95670.0,0.0110473632812,0.105224609375,0.84375,0.526245117188,2.6875,21.625,6.375,-0.77,1.42,9.61
1542210294608253002,14,0,/imu_data_acquisition2,95684.0,0.0096435546875,0.106506347656,0.843933105469,0.525634765625,3.875,23.0,5.1875,-0.01,0.95,9.7
1542210294616664886,15,0,/imu_data_acquisition2,95693.0,0.008056640625,-6.103515625e-05,-6.103515625e-05,0.525085449219,7.4375,27.3125,4.1875,-0.77,1.3,9.74
1542210294624069929,16,0,/imu_data_acquisition2,95700.0,0.00628662109375,0.1103515625,0.844116210938,0.524597167969,10.1875,30.875,3.0625,-0.81,1.17,10.08
1542210294634001970,17,0,/imu_data_acquisition2,95710.0,0.0045166015625,0.112670898438,0.844177246094,0.524047851562,11.8125,32.6875,3.0,-0.51,1.16,9.9
1542210294643954038,18,0,/imu_data_acquisition2,95720.0,0.00262451171875,0.115356445312,0.844116210938,0.523620605469,15.4375,36.5,1.6875,-1.21,1.24,10.14
1542210294660567998,19,0,/imu_data_acquisition2,95733.0,0.0006103515625,-6.103515625e-05,-6.103515625e-05,0.523193359375,18.4375,39.5,0.0625,-0.69,1.29,9.79
1542210294669214963,20,0,/imu_data_acquisition2,95744.0,-6.103515625e-05,-6.103515625e-05,-6.103515625e-05,0.522888183594,24.0,44.625,-2.0625,-0.42,1.36,9.77
1542210294674943923,21,0,/imu_data_acquisition2,95751.0,-0.00372314453125,0.124816894531,0.843383789062,0.522583007812,27.75,49.5,-1.75,-0.9,1.08,9.87
1542210294687328100,22,0,/imu_data_acquisition2,95762.0,-0.00616455078125,0.1279296875,0.843139648438,0.522216796875,31.5625,55.25,-1.375,-0.72,1.14,9.87
1542210294696296930,23,0,/imu_data_acquisition2,95770.0,-0.00885009765625,0.131591796875,0.842895507812,0.521667480469,35.0625,60.75,-0.125,-0.94,-0.01,-0.01
1542210294708539962,24,0,/imu_data_acquisition2,95784.0,-0.0117797851562,0.137390136719,0.842407226562,0.520874023438,40.5625,66.5625,1.0,-0.39,0.49,9.67
