%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1541714684952204942,1559,0,/fsr_data_acquisition,0,1,0,0
1541714684956650018,1560,0,/fsr_data_acquisition,0,1,0,0
1541714684960944890,1561,0,/fsr_data_acquisition,0,1,0,0
1541714684966027975,1562,0,/fsr_data_acquisition,0,1,0,0
1541714684971851110,1563,0,/fsr_data_acquisition,0,1,0,0
1541714684976458072,1564,0,/fsr_data_acquisition,0,1,0,0
1541714684982857942,1565,0,/fsr_data_acquisition,0,1,0,0
1541714684993729114,1567,0,/fsr_data_acquisition,0,1,0,0
1541714684996458053,1568,0,/fsr_data_acquisition,0,1,0,0
1541714685002360105,1569,0,/fsr_data_acquisition,0,1,0,0
1541714685012698888,1571,0,/fsr_data_acquisition,0,1,0,0
1541714685016369104,1572,0,/fsr_data_acquisition,0,1,0,0
1541714685020507097,1573,0,/fsr_data_acquisition,0,1,0,0
1541714685025820970,1574,0,/fsr_data_acquisition,0,1,0,0
1541714685031335115,1575,0,/fsr_data_acquisition,0,1,0,0
1541714685036355018,1576,0,/fsr_data_acquisition,0,1,0,0
1541714685041227102,1577,0,/fsr_data_acquisition,0,1,0,0
1541714685046546936,1578,0,/fsr_data_acquisition,0,1,0,0
1541714685051192998,1579,0,/fsr_data_acquisition,0,1,0,0
1541714685055649042,1580,0,/fsr_data_acquisition,0,1,0,0
1541714685061902999,1581,0,/fsr_data_acquisition,0,1,0,0
1541714685066047906,1582,0,/fsr_data_acquisition,0,1,0,0
1541714685071353912,1583,0,/fsr_data_acquisition,0,1,0,0
1541714685075870037,1584,0,/fsr_data_acquisition,0,1,0,0
1541714685081669092,1585,0,/fsr_data_acquisition,0,1,0,0
1541714685085932970,1586,0,/fsr_data_acquisition,0,1,0,0
1541714685090770006,1587,0,/fsr_data_acquisition,0,1,0,0
1541714685096915960,1588,0,/fsr_data_acquisition,0,1,0,0
1541714685101144075,1589,0,/fsr_data_acquisition,0,1,0,0
1541714685105886936,1590,0,/fsr_data_acquisition,0,1,0,0
1541714685112943887,1591,0,/fsr_data_acquisition,0,1,0,0
1541714685116564035,1592,0,/fsr_data_acquisition,0,1,0,0
1541714685120824098,1593,0,/fsr_data_acquisition,0,1,0,0
1541714685127693891,1594,0,/fsr_data_acquisition,0,1,0,0
1541714685131835937,1595,0,/fsr_data_acquisition,0,1,0,0
1541714685136219978,1596,0,/fsr_data_acquisition,0,1,1,0
1541714685140562057,1597,0,/fsr_data_acquisition,0,1,1,0
1541714685145539045,1598,0,/fsr_data_acquisition,0,1,1,0
1541714685150456905,1599,0,/fsr_data_acquisition,0,1,1,0
1541714685155136108,1600,0,/fsr_data_acquisition,0,1,1,0
1541714685160852909,1601,0,/fsr_data_acquisition,0,1,1,0
1541714685167953968,1602,0,/fsr_data_acquisition,0,1,1,0
1541714685172405004,1603,0,/fsr_data_acquisition,0,1,1,0
1541714685175973892,1604,0,/fsr_data_acquisition,0,1,1,0
1541714685182321071,1605,0,/fsr_data_acquisition,0,1,1,0
1541714685186722993,1606,0,/fsr_data_acquisition,0,1,1,0
1541714685191724061,1607,0,/fsr_data_acquisition,0,1,1,0
1541714685197966098,1608,0,/fsr_data_acquisition,0,1,1,0
1541714685204782009,1609,0,/fsr_data_acquisition,0,1,1,0
1541714685206604957,1610,0,/fsr_data_acquisition,0,1,1,0
1541714685211990118,1611,0,/fsr_data_acquisition,0,1,1,0
1541714685218446016,1612,0,/fsr_data_acquisition,0,1,1,0
1541714685222203016,1613,0,/fsr_data_acquisition,0,1,0,0
1541714685229635000,1614,0,/fsr_data_acquisition,0,1,0,0
1541714685234108924,1615,0,/fsr_data_acquisition,0,1,0,0
1541714685237509012,1616,0,/fsr_data_acquisition,0,1,0,0
1541714685242229938,1617,0,/fsr_data_acquisition,0,1,0,0
1541714685245342969,1618,0,/fsr_data_acquisition,0,1,0,0
1541714685254312038,1619,0,/fsr_data_acquisition,0,1,0,0
1541714685261420965,1620,0,/fsr_data_acquisition,0,1,0,0
1541714685262901067,1621,0,/fsr_data_acquisition,0,1,0,0
1541714685270272970,1622,0,/fsr_data_acquisition,0,1,0,0
1541714685271591901,1623,0,/fsr_data_acquisition,0,1,1,0
1541714685276221990,1624,0,/fsr_data_acquisition,0,1,1,0
1541714685283957958,1625,0,/fsr_data_acquisition,0,1,1,0
1541714685290196895,1626,0,/fsr_data_acquisition,0,1,1,0
1541714685293204069,1627,0,/fsr_data_acquisition,0,1,1,0
1541714685298902988,1628,0,/fsr_data_acquisition,0,1,1,0
1541714685301628112,1629,0,/fsr_data_acquisition,0,1,1,0
1541714685306380033,1630,0,/fsr_data_acquisition,0,1,1,0
1541714685315179109,1631,0,/fsr_data_acquisition,0,1,1,0
1541714685319246053,1632,0,/fsr_data_acquisition,0,1,1,0
1541714685320955991,1633,0,/fsr_data_acquisition,0,1,1,0
1541714685327809095,1634,0,/fsr_data_acquisition,0,1,1,0
1541714685331438064,1635,0,/fsr_data_acquisition,0,1,1,0
1541714685336410999,1636,0,/fsr_data_acquisition,0,1,1,0
1541714685344954967,1637,0,/fsr_data_acquisition,0,1,1,0
1541714685346971988,1638,0,/fsr_data_acquisition,0,1,1,0
1541714685350975036,1639,0,/fsr_data_acquisition,0,1,1,0
1541714685360018968,1640,0,/fsr_data_acquisition,0,1,1,0
1541714685361267089,1641,0,/fsr_data_acquisition,0,1,1,0
1541714685365667104,1642,0,/fsr_data_acquisition,0,1,1,0
1541714685377202033,1644,0,/fsr_data_acquisition,0,1,0,0
1541714685380749940,1645,0,/fsr_data_acquisition,0,1,0,0
