%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1455208473850683927,831,0,/fsr_data_acquisition,1,0,1,0
1455208473853163003,832,0,/fsr_data_acquisition,1,0,1,0
1455208473856724023,833,0,/fsr_data_acquisition,1,0,1,0
1455208473857461929,834,0,/fsr_data_acquisition,1,0,1,0
1455208473861851930,835,0,/fsr_data_acquisition,1,0,1,0
1455208473869142055,836,0,/fsr_data_acquisition,1,0,1,0
1455208473871722936,837,0,/fsr_data_acquisition,1,0,1,0
1455208473876727104,838,0,/fsr_data_acquisition,1,0,1,0
1455208473882117033,839,0,/fsr_data_acquisition,1,0,1,0
1455208473886766910,840,0,/fsr_data_acquisition,0,0,1,0
1455208473891892910,841,0,/fsr_data_acquisition,0,0,0,0
1455208473897558927,842,0,/fsr_data_acquisition,0,0,0,0
1455208473902173995,843,0,/fsr_data_acquisition,0,0,0,0
1455208473906812906,844,0,/fsr_data_acquisition,0,0,0,0
1455208473911834001,845,0,/fsr_data_acquisition,0,0,0,0
1455208473918437957,846,0,/fsr_data_acquisition,0,0,0,0
1455208473924453020,847,0,/fsr_data_acquisition,0,0,0,0
1455208473929109096,848,0,/fsr_data_acquisition,0,0,0,0
1455208473932233095,849,0,/fsr_data_acquisition,0,0,0,0
1455208473948812007,850,0,/fsr_data_acquisition,0,0,0,0
1455208473950855970,851,0,/fsr_data_acquisition,0,0,0,0
1455208473954760074,852,0,/fsr_data_acquisition,0,0,0,0
1455208473957910060,853,0,/fsr_data_acquisition,0,0,0,0
1455208473959126949,854,0,/fsr_data_acquisition,0,0,0,0
1455208473962869882,855,0,/fsr_data_acquisition,0,0,0,0
1455208473968575000,856,0,/fsr_data_acquisition,0,0,0,0
1455208473979314088,857,0,/fsr_data_acquisition,0,0,0,0
1455208473981225967,858,0,/fsr_data_acquisition,0,0,0,0
1455208473983787059,859,0,/fsr_data_acquisition,0,0,0,0
1455208473989525079,860,0,/fsr_data_acquisition,0,0,0,0
1455208473994015932,861,0,/fsr_data_acquisition,0,0,0,0
1455208473997793912,862,0,/fsr_data_acquisition,0,0,0,0
1455208474001883029,863,0,/fsr_data_acquisition,0,0,0,0
1455208474009826898,864,0,/fsr_data_acquisition,0,0,0,0
1455208474014401912,865,0,/fsr_data_acquisition,0,0,0,0
1455208474019222974,866,0,/fsr_data_acquisition,0,0,0,0
1455208474023597955,867,0,/fsr_data_acquisition,0,0,0,0
1455208474030270099,868,0,/fsr_data_acquisition,0,0,0,0
1455208474035948038,869,0,/fsr_data_acquisition,0,0,0,0
1455208474038153886,870,0,/fsr_data_acquisition,0,0,0,0
