%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.quat_x,field.quat_y,field.quat_z,field.quat_w,field.gyro_x,field.gyro_y,field.gyro_z,field.accel_x,field.accel_y,field.accel_z
1542407894085954904,81,0,/imu_data_acquisition2,28911.0,-0.327575683594,0.288269042969,0.580810546875,0.687194824219,-80.3125,464.1875,-141.0,-5.68,6.19,11.68
1542407894095973014,82,0,/imu_data_acquisition2,28921.0,-0.363708496094,0.302124023438,0.562194824219,0.678527832031,-168.6875,463.375,-0.0625,-1.71,3.53,10.69
1542407894109725952,83,0,/imu_data_acquisition2,28931.0,-0.404113769531,0.311950683594,0.544128417969,0.665832519531,-249.8125,471.3125,-162.4375,-7.99,-0.5,13.42
1542407894116166114,84,0,/imu_data_acquisition2,28941.0,-0.0142822265625,-6.103515625e-05,-6.103515625e-05,0.652038574219,-232.1875,366.5,-93.375,-6.96,1.56,28.64
1542407894127542018,85,0,/imu_data_acquisition2,28951.0,-0.454956054688,0.321655273438,0.526672363281,0.642028808594,-155.8125,208.875,-33.375,-5.75,-1.22,28.45
1542407894135808944,86,0,/imu_data_acquisition2,28961.0,-0.4619140625,0.325866699219,0.523254394531,0.6376953125,-36.9375,110.5,-2.0625,-5.16,0.42,25.23
1542407894147192001,87,0,/imu_data_acquisition2,28971.0,-0.459655761719,0.329528808594,0.522216796875,0.638305664062,46.875,17.0625,17.0,0.66,2.84,14.66
1542407894159548044,88,0,/imu_data_acquisition2,28980.0,-0.453308105469,0.33203125,0.522766113281,0.64111328125,76.375,-34.4375,24.875,1.74,3.24,10.14
1542407894166521072,89,0,/imu_data_acquisition2,28991.0,-0.445922851562,0.333068847656,0.524719238281,0.644104003906,70.8125,-60.1875,30.5,2.09,2.89,7.89
1542407894174508094,90,0,/imu_data_acquisition2,29000.0,-0.438781738281,0.33251953125,0.52783203125,0.646728515625,52.75,-75.4375,32.875,1.82,1.9,6.72
1542407894186024904,91,0,/imu_data_acquisition2,29011.0,-0.431579589844,0.330627441406,0.531921386719,0.649230957031,40.5,-90.0625,34.25,1.12,0.55,7.51
