%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1455210056915416002,1,0,/fsr_data_acquisition,1,1,1,0
1455210056916630983,2,0,/fsr_data_acquisition,1,1,1,0
1455210056917678117,3,0,/fsr_data_acquisition,1,1,1,0
1455210056921806097,4,0,/fsr_data_acquisition,1,1,0,0
1455210056926593065,5,0,/fsr_data_acquisition,1,1,0,0
1455210056932022094,6,0,/fsr_data_acquisition,0,1,0,0
1455210056936877012,7,0,/fsr_data_acquisition,0,1,0,0
1455210056944020986,8,0,/fsr_data_acquisition,0,1,0,1
1455210056947201967,9,0,/fsr_data_acquisition,0,1,0,1
1455210056952794075,10,0,/fsr_data_acquisition,0,1,0,1
1455210056958036899,11,0,/fsr_data_acquisition,0,1,0,1
1455210056963017940,12,0,/fsr_data_acquisition,0,1,0,1
1455210056966701030,13,0,/fsr_data_acquisition,0,1,0,1
1455210056972910881,14,0,/fsr_data_acquisition,0,1,0,1
1455210056977480888,15,0,/fsr_data_acquisition,0,1,0,0
1455210056984577894,16,0,/fsr_data_acquisition,0,1,0,0
1455210056994714021,18,0,/fsr_data_acquisition,0,1,0,0
1455210056997206926,19,0,/fsr_data_acquisition,0,1,0,0
1455210057006479024,20,0,/fsr_data_acquisition,0,1,0,0
1455210057008266925,21,0,/fsr_data_acquisition,0,1,0,0
1455210057012289047,22,0,/fsr_data_acquisition,0,1,0,0
1455210057018738031,23,0,/fsr_data_acquisition,0,1,0,0
1455210057027165889,24,0,/fsr_data_acquisition,0,1,0,0
1455210057028047084,25,0,/fsr_data_acquisition,0,1,0,0
1455210057038233995,26,0,/fsr_data_acquisition,0,1,0,0
1455210057039690017,27,0,/fsr_data_acquisition,0,1,0,0
1455210057042592048,28,0,/fsr_data_acquisition,0,1,0,0
1455210057049004077,29,0,/fsr_data_acquisition,0,1,0,0
1455210057053802013,30,0,/fsr_data_acquisition,0,1,0,0
1455210057057806968,31,0,/fsr_data_acquisition,0,1,0,0
1455210057063136100,32,0,/fsr_data_acquisition,0,1,0,0
1455210057068264007,33,0,/fsr_data_acquisition,0,1,0,0
1455210057072669982,34,0,/fsr_data_acquisition,0,1,0,0
1455210057078901052,35,0,/fsr_data_acquisition,0,1,0,0
1455210057084420919,36,0,/fsr_data_acquisition,0,1,0,0
1455210057088040113,37,0,/fsr_data_acquisition,0,1,0,0
1455210057098222970,38,0,/fsr_data_acquisition,0,1,0,0
1455210057099874019,39,0,/fsr_data_acquisition,0,1,0,0
1455210057102989912,40,0,/fsr_data_acquisition,0,1,0,0
1455210057108724117,41,0,/fsr_data_acquisition,0,1,0,0
1455210057114599943,42,0,/fsr_data_acquisition,0,1,0,1
1455210057117918014,43,0,/fsr_data_acquisition,0,1,0,1
1455210057122131109,44,0,/fsr_data_acquisition,0,1,0,1
1455210057129159927,45,0,/fsr_data_acquisition,0,1,0,1
1455210057132806062,46,0,/fsr_data_acquisition,0,1,0,1
1455210057137075901,47,0,/fsr_data_acquisition,0,1,0,1
1455210057144853115,48,0,/fsr_data_acquisition,0,1,0,1
1455210057148317098,49,0,/fsr_data_acquisition,0,1,0,1
1455210057152199029,50,0,/fsr_data_acquisition,0,1,0,1
1455210057159256935,51,0,/fsr_data_acquisition,0,1,0,1
1455210057163017034,52,0,/fsr_data_acquisition,0,1,0,1
1455210057166955947,53,0,/fsr_data_acquisition,0,1,0,1
1455210057173976898,54,0,/fsr_data_acquisition,0,1,0,1
1455210057178384065,55,0,/fsr_data_acquisition,0,1,0,1
1455210057182087898,56,0,/fsr_data_acquisition,0,1,0,1
1455210057189452886,57,0,/fsr_data_acquisition,0,1,0,1
1455210057195147991,58,0,/fsr_data_acquisition,0,1,0,1
1455210057197556018,59,0,/fsr_data_acquisition,0,1,0,1
1455210057203352928,60,0,/fsr_data_acquisition,0,1,0,1
1455210057209254026,61,0,/fsr_data_acquisition,0,1,0,1
1455210057212260961,62,0,/fsr_data_acquisition,0,1,0,1
1455210057218590974,63,0,/fsr_data_acquisition,0,1,0,1
1455210057223401069,64,0,/fsr_data_acquisition,0,1,0,1
1455210057227761030,65,0,/fsr_data_acquisition,0,1,0,1
1455210057233254909,66,0,/fsr_data_acquisition,0,1,0,1
1455210057239257097,67,0,/fsr_data_acquisition,0,1,0,1
1455210057242392063,68,0,/fsr_data_acquisition,0,1,0,1
1455210057248507022,69,0,/fsr_data_acquisition,0,1,0,1
1455210057253266096,70,0,/fsr_data_acquisition,0,1,0,1
1455210057257343053,71,0,/fsr_data_acquisition,0,1,0,1
1455210057263199090,72,0,/fsr_data_acquisition,0,1,0,1
1455210057269254922,73,0,/fsr_data_acquisition,0,1,0,1
1455210057272418022,74,0,/fsr_data_acquisition,0,1,0,1
1455210057278703927,75,0,/fsr_data_acquisition,0,1,0,1
1455210057283185958,76,0,/fsr_data_acquisition,0,1,0,1
1455210057287472963,77,0,/fsr_data_acquisition,0,1,0,1
1455210057295253038,78,0,/fsr_data_acquisition,0,1,0,1
1455210057300065040,79,0,/fsr_data_acquisition,0,1,0,1
1455210057302850008,80,0,/fsr_data_acquisition,0,1,0,1
1455210057306803941,81,0,/fsr_data_acquisition,0,1,0,1
1455210057313587903,82,0,/fsr_data_acquisition,0,1,0,1
1455210057317847013,83,0,/fsr_data_acquisition,0,1,0,0
1455210057323232889,84,0,/fsr_data_acquisition,0,1,0,0
1455210057330440044,85,0,/fsr_data_acquisition,0,1,0,0
1455210057333471059,86,0,/fsr_data_acquisition,0,1,0,0
1455210057337011098,87,0,/fsr_data_acquisition,0,1,0,0
1455210057343904972,88,0,/fsr_data_acquisition,0,1,0,0
1455210057348596096,89,0,/fsr_data_acquisition,0,1,0,0
1455210057352130889,90,0,/fsr_data_acquisition,0,1,0,0
1455210057359740018,91,0,/fsr_data_acquisition,0,1,0,0
1455210057364068031,92,0,/fsr_data_acquisition,0,1,0,0
1455210057366894960,93,0,/fsr_data_acquisition,0,1,0,0
1455210057373575925,94,0,/fsr_data_acquisition,0,1,0,0
1455210057377827882,95,0,/fsr_data_acquisition,0,1,0,0
1455210057382638931,96,0,/fsr_data_acquisition,0,1,0,0
1455210057389297962,97,0,/fsr_data_acquisition,0,1,0,0
1455210057395458936,98,0,/fsr_data_acquisition,0,1,0,0
1455210057397767066,99,0,/fsr_data_acquisition,0,1,0,0
1455210057404300928,100,0,/fsr_data_acquisition,0,1,0,0
1455210057409287929,101,0,/fsr_data_acquisition,0,1,0,1
1455210057412307024,102,0,/fsr_data_acquisition,0,1,0,1
1455210057419946908,103,0,/fsr_data_acquisition,0,1,0,1
1455210057425126075,104,0,/fsr_data_acquisition,0,1,0,1
1455210057426971912,105,0,/fsr_data_acquisition,0,1,0,1
1455210057433974027,106,0,/fsr_data_acquisition,0,1,0,1
1455210057438863039,107,0,/fsr_data_acquisition,0,1,0,1
1455210057446079015,108,0,/fsr_data_acquisition,0,1,0,1
1455210057451189041,109,0,/fsr_data_acquisition,0,1,0,1
1455210057453562974,110,0,/fsr_data_acquisition,0,1,0,1
1455210057457046031,111,0,/fsr_data_acquisition,0,1,0,1
1455210057464952945,112,0,/fsr_data_acquisition,0,1,0,1
1455210057469320058,113,0,/fsr_data_acquisition,0,1,0,1
1455210057476686954,114,0,/fsr_data_acquisition,0,1,0,1
1455210057482585906,115,0,/fsr_data_acquisition,0,1,0,1
1455210057485079050,116,0,/fsr_data_acquisition,0,1,0,1
1455210057487974882,117,0,/fsr_data_acquisition,0,1,0,1
1455210057496748924,118,0,/fsr_data_acquisition,0,1,0,1
1455210057505978107,119,0,/fsr_data_acquisition,0,1,0,1
1455210057513334989,121,0,/fsr_data_acquisition,0,1,0,1
1455210057515351057,122,0,/fsr_data_acquisition,0,1,0,1
1455210057516957998,123,0,/fsr_data_acquisition,0,1,0,1
1455210057524951934,124,0,/fsr_data_acquisition,0,1,0,1
1455210057528768062,125,0,/fsr_data_acquisition,0,1,0,1
