%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.quat_x,field.quat_y,field.quat_z,field.quat_w,field.gyro_x,field.gyro_y,field.gyro_z,field.accel_x,field.accel_y,field.accel_z
1542226489199238061,59,0,/imu_data_acquisition2,39563.0,-0.251342773438,0.147827148438,0.770141601562,0.567321777344,61.375,165.375,70.875,-3.86,-2.03,9.83
1542226489207103013,60,0,/imu_data_acquisition2,39571.0,-0.259094238281,0.162292480469,0.768432617188,0.562133789062,67.3125,182.1875,65.4375,-4.54,-1.95,9.96
1542226489227195978,61,0,/imu_data_acquisition2,39585.0,-0.267517089844,0.178466796875,0.765747070312,0.556945800781,80.375,202.5,62.75,-5.0,-1.66,10.75
1542226489229413986,62,0,/imu_data_acquisition2,39591.0,-0.276672363281,0.196350097656,0.761962890625,0.551696777344,93.1875,223.9375,60.125,-5.97,-1.31,11.26
1542226489244155883,63,0,/imu_data_acquisition2,39603.0,-0.28662109375,0.215454101562,0.757019042969,0.546264648438,100.4375,243.375,56.1875,-6.09,-0.87,11.18
1542226489250623941,64,0,/imu_data_acquisition2,39613.0,-0.297668457031,0.235534667969,0.750793457031,0.540649414062,105.625,264.0625,50.0625,-7.09,0.16,11.75
1542226489262506008,65,0,/imu_data_acquisition2,39623.0,-0.309936523438,0.255737304688,0.743225097656,0.534973144531,102.375,281.375,39.125,-7.97,-0.11,12.11
1542226489279376983,67,0,/imu_data_acquisition2,39643.0,-0.338073730469,0.296142578125,0.723999023438,0.523315429688,97.25,315.875,15.375,-10.57,-0.04,15.24
1542226489287409067,68,0,/imu_data_acquisition2,39651.0,-0.3525390625,0.315673828125,0.712341308594,0.518249511719,98.0,309.4375,-1.375,-8.48,-0.38,12.88
1542226489302407979,69,0,/imu_data_acquisition2,39663.0,-0.366271972656,0.334045410156,-6.103515625e-05,0.514038085938,99.0,295.5,-14.4375,-9.21,-0.06,11.18
1542226489309704065,70,0,/imu_data_acquisition2,39672.0,-0.379028320312,0.351196289062,0.687316894531,0.510437011719,99.5625,279.5625,-23.9375,-8.55,0.77,12.35
1542226489318356990,71,0,/imu_data_acquisition2,39681.0,-0.390075683594,0.365905761719,0.675537109375,0.507568359375,89.375,243.875,-27.6875,-5.31,3.66,19.28
1542226489329993009,72,0,/imu_data_acquisition2,39692.0,-0.398559570312,0.376159667969,0.666076660156,0.505981445312,63.75,180.0,-33.375,-1.58,6.07,22.21
1542226489340291023,73,0,/imu_data_acquisition2,39702.0,-0.404541015625,0.380432128906,0.660217285156,0.505676269531,23.1875,101.625,-38.9375,2.44,6.82,20.53
1542226489348196983,74,0,/imu_data_acquisition2,39711.0,-0.408386230469,0.381164550781,0.65869140625,0.504028320312,-18.1875,48.875,-10.375,2.98,2.14,18.97
1542226489360342979,75,0,/imu_data_acquisition2,39723.0,-0.41064453125,0.379333496094,0.660034179688,0.501831054688,-44.8125,10.1875,6.25,4.81,1.24,14.7
1542226489369858980,76,0,/imu_data_acquisition2,39732.0,-0.411376953125,0.376342773438,0.662353515625,0.50048828125,-44.5,-17.3125,5.9375,4.45,0.7,12.12
1542226489376882076,77,0,/imu_data_acquisition2,39741.0,-0.4111328125,0.372253417969,0.6650390625,0.500183105469,-44.0625,-37.5,0.0625,3.28,0.04,12.42
1542226489390836954,78,0,/imu_data_acquisition2,39754.0,-0.409851074219,0.367309570312,0.667846679688,0.501098632812,-38.875,-57.125,-9.125,2.03,0.17,13.24
1542226489400896072,79,0,/imu_data_acquisition2,39762.0,-0.407165527344,0.361206054688,0.671081542969,0.50341796875,-35.4375,-82.8125,-17.0,1.03,0.52,14.06
1542226489408360004,80,0,/imu_data_acquisition2,39773.0,-0.40283203125,0.353759765625,0.674987792969,0.506958007812,-33.1875,-113.1875,-22.375,0.1,1.06,14.1
1542226489420363903,81,0,/imu_data_acquisition2,39783.0,-0.39697265625,0.344543457031,0.679809570312,0.511474609375,-37.25,-144.125,-26.625,-0.86,1.69,12.68
1542226489431176900,82,0,/imu_data_acquisition2,39792.0,-0.390014648438,0.33349609375,0.685363769531,0.516662597656,-44.75,-170.375,-15.125,-1.25,1.6,11.95
1542226489439130067,83,0,/imu_data_acquisition2,39803.0,-0.382080078125,0.320983886719,0.691467285156,0.522399902344,-50.75,-191.6875,-36.25,-2.29,1.38,11.83
1542226489449709892,84,0,/imu_data_acquisition2,39813.0,-0.373168945312,0.307189941406,0.69775390625,0.528686523438,-53.0625,-210.1875,-41.25,-3.62,0.96,10.89
1542226489460706949,85,0,/imu_data_acquisition2,39822.0,-0.363159179688,0.292663574219,0.704040527344,0.535522460938,-49.75,-226.3125,-44.4375,-3.8,0.92,10.04
1542226489466747045,86,0,/imu_data_acquisition2,39831.0,-0.352111816406,0.277954101562,0.710083007812,0.542724609375,-42.3125,-236.4375,-46.9375,-4.11,0.96,9.09
1542226489478833913,87,0,/imu_data_acquisition2,39842.0,-0.340209960938,0.263488769531,0.715637207031,0.550231933594,-32.5625,-240.9375,-48.0625,-4.57,1.4,8.59
1542226489490597009,88,0,/imu_data_acquisition2,39852.0,-0.32763671875,0.249450683594,0.720703125,0.557678222656,-22.6875,-241.3125,-47.75,-4.95,1.66,8.82
1542226489497916936,89,0,/imu_data_acquisition2,39862.0,-0.314697265625,0.235900878906,0.725341796875,0.565002441406,-15.8125,-239.6875,-46.25,-5.38,1.79,9.18
1542226489509228944,90,0,/imu_data_acquisition2,39873.0,-0.301513671875,0.22265625,0.729553222656,0.572021484375,-11.0,-237.3125,-44.5,-5.67,1.66,9.54
