%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.quat_x,field.quat_y,field.quat_z,field.quat_w,field.gyro_x,field.gyro_y,field.gyro_z,field.accel_x,field.accel_y,field.accel_z
1542402604779112100,113,0,/imu_data_acquisition2,36250.0,0.00457763671875,0.0441284179688,0.732727050781,0.679077148438,0.8125,-1.125,-0.125,-0.91,0.43,9.78
1542402604789417982,114,0,/imu_data_acquisition2,36260.0,0.00457763671875,0.0440673828125,-6.103515625e-05,0.679077148438,1.0,-2.1875,-0.0625,-0.75,0.53,9.81
1542402604799484968,115,0,/imu_data_acquisition2,36270.0,0.00457763671875,0.0440673828125,0.732727050781,0.679077148438,1.1875,-2.3125,0.1875,-0.8,0.61,9.67
1542402604809431076,116,0,/imu_data_acquisition2,36281.0,0.00457763671875,0.0440673828125,0.732727050781,0.679077148438,1.0625,-2.125,0.25,-0.88,0.51,9.98
1542402604823503017,117,0,/imu_data_acquisition2,36292.0,0.00445556640625,0.0441284179688,0.732666015625,0.679138183594,1.0,-2.0,0.5,-1.0,0.53,9.97
1542402604833992004,118,0,/imu_data_acquisition2,36303.0,0.0045166015625,0.044189453125,0.732666015625,0.679138183594,1.0,-1.1875,0.4375,-0.59,0.71,9.87
1542402604842407941,119,0,/imu_data_acquisition2,36312.0,0.0045166015625,0.0441284179688,0.732666015625,0.679138183594,0.5625,-1.125,0.5625,-0.56,0.67,9.55
1542402604849409103,120,0,/imu_data_acquisition2,36320.0,0.00445556640625,0.044189453125,0.732666015625,0.679138183594,-0.125,-0.25,0.5,-0.97,0.69,9.65
1542402604861546993,121,0,/imu_data_acquisition2,36332.0,0.00421142578125,0.044189453125,0.732666015625,0.679138183594,-1.1875,0.625,0.25,-0.68,0.44,9.93
1542402604871077060,122,0,/imu_data_acquisition2,36341.0,0.00390625,0.044189453125,0.732666015625,0.679138183594,-1.625,1.1875,0.125,-0.66,0.46,9.64
1542402604877968072,123,0,/imu_data_acquisition2,36350.0,0.00360107421875,0.044189453125,0.732666015625,0.679138183594,-1.875,2.5,0.1875,-0.63,0.58,9.69
1542402604890901088,124,0,/imu_data_acquisition2,36362.0,0.003173828125,0.0443115234375,0.732666015625,0.679138183594,-2.25,3.1875,0.3125,-0.91,0.6,9.83
1542402604901106119,125,0,/imu_data_acquisition2,36371.0,0.00262451171875,0.04443359375,0.732727050781,0.679077148438,-2.625,4.3125,0.1875,-0.9,0.65,9.61
1542402604907587051,126,0,/imu_data_acquisition2,36379.0,0.00201416015625,0.0445556640625,0.732727050781,0.679077148438,-3.25,5.4375,-0.0625,-0.69,0.51,9.85
